table	line	name	set	spawnable	disabled	item_code	item_name	category	tier	type	type2	current_lvl	proposed_lvl	delta	current_lvl_req	base_levelreq	normal_code	exceptional_code	elite_code
unique	354	Boneshade		1		7bw	lich wand	weapon	elite	wand	1wep	85	75	-10	83	56	bwn	9bw	7bw
unique	358	Wolfhowl		1		bac	fury visor	armor	elite	phlm		85	66	-19	79	49	ba2	ba7	bac
unique	361	Ormus' Robes		1		uui	dusk shroud	armor	elite	tors		85	65	-20	85	49	qui	xui	uui
unique	363	Stormlash		1		7fl	scourge	weapon	elite	mace	1wep	86	76	-10	82	57	fla	9fl	7fl
unique	366	Spike Thorn		1		upk	blade barrier	armor	elite	shie		75	68	-7	80	51	spk	xpk	upk
unique	367	Dracul's Grasp		1		uvg	vampirebone gloves	armor	elite	glov		84	63	-21	76	47	vgl	xvg	uvg
unique	370	Eschuta's temper		1		obc	eldritch orb	weapon	elite	orb	1wep	70	67	-3	75	50	ob2	ob7	obc
unique	371	Firelizard's Talons		1		7lw	feral claws	weapon	elite	h2h2	1wep	84	78	-6	81	58	clw	9lw	7lw
unique	374	Heaven's Light		1		7sc	mighty scepter	weapon	elite	scep	1wep	69	62	-7	75	46	scp	9sc	7sc
unique	376	Arachnid Mesh		1		ulc	spiderweb sash	armor	elite	belt		87	61	-26	80	46	lbl	zlb	ulc
unique	385	Arioc's Needle		1		7sr	hyperion spear	weapon	elite	spea		85	58	-27	81	43	spr	9sr	7sr
unique	387	Nord's Tenderizer		1		7cl	truncheon	weapon	elite	club	1wep	65	52	-13	68	39	clb	9cl	7cl
unique	390	Bonehew		1		7o7	ogre axe	weapon	elite	pole	slam	75	60	-15	80	45	bar	9b7	7o7
unique	392	The Redeemer		1		7sc	mighty scepter	weapon	elite	scep	1wep	85	62	-23	85	46	scp	9sc	7sc
unique	393	Head Hunter's Glory		1		ush	troll nest	armor	elite	shie		83	76	-7	75	57	bsh	xsh	ush
unique	413	Ars Dul'Mephistos		1		wac	occult tome	armor	elite	grim		70	67	-3	78	49	wa2	wa7	wac
unique	414	Measured Wrath		1		wa6	burnt text	armor	exceptional	grim		50	24	-26	52	24	wa1	wa6	wab
unique	415	Dreadfang		1		72h	legend sword	weapon	elite	swor	slam	69	59	-10	61	44	2hs	92h	72h
unique	422	Unique Warlock Helm		1		xsk	death mask	armor	exceptional	helm		50	48	-2	50	25	msk	xsk	usk
unique	442	Auburn Fire		1		hax	hand axe	weapon	normal	axe	1wep	12	3	-9	15	0	hax	9ha	7ha
unique	444	Easebringer		1		axe	axe	weapon	normal	axe	1wep	12	7	-5	22	0	axe	9ax	7ax
unique	448	Broken Earth		1		mpi	military pick	weapon	normal	axe	1wep	25	19	-6	30	0	mpi	9mp	7mp
unique	454	Slayer of Trents		1		9ax	cleaver	weapon	exceptional	axe	1wep	40	34	-6	45	22	axe	9ax	7ax
unique	455	Edge of Forever		1		9ax	cleaver	weapon	exceptional	axe	1wep	40	34	-6	49	22	axe	9ax	7ax
unique	456	Cryohydra		1		92a	twin axe	weapon	exceptional	axe	1wep	40	39	-1	56	25	2ax	92a	72a
unique	457	Harvest of Souls		1		92a	twin axe	weapon	exceptional	axe	1wep	40	39	-1	50	25	2ax	92a	72a
unique	460	Couatl		1		9wa	naga	weapon	exceptional	axe	1wep	55	48	-7	65	25	wax	9wa	7wa
unique	461	Antics of the Jester		1		9wa	naga	weapon	exceptional	axe	1wep	50	48	-2	57	25	wax	9wa	7wa
unique	462	Marilith Edge		1		7ha	tomahawk	weapon	elite	axe	1wep	64	54	-10	68	40	hax	9ha	7ha
unique	463	Death Slaad		1		7ax	small crescent	weapon	elite	axe	1wep	69	61	-8	71	45	axe	9ax	7ax
unique	465	Beholder		1		72a	ettin axe	weapon	elite	axe	1wep	72	70	-2	75	52	2ax	92a	72a
unique	468	Light Phasm		1		lax	large axe	weapon	normal	axe	slam	12	6	-6	21	0	lax	9la	7la
unique	470	Night Hag		1		bax	broad axe	weapon	normal	axe	slam	15	12	-3	23	0	bax	9ba	7ba
unique	474	Winter Wolf		1		gax	great axe	weapon	normal	axe	slam	25	23	-2	33	0	gax	9ga	7ga
unique	478	Sunblighter		1		9la	military axe	weapon	exceptional	axe	slam	40	34	-6	45	22	lax	9la	7la
unique	480	Dwarven Honor		1		9ba	bearded axe	weapon	exceptional	axe	slam	43	38	-5	51	25	bax	9ba	7ba
unique	481	Grandiose Dreams		1		9ba	bearded axe	weapon	exceptional	axe	slam	40	38	-2	44	25	bax	9ba	7ba
unique	483	Spirit Naga		1		9bt	tabar	weapon	exceptional	axe	slam	43	42	-1	54	25	btx	9bt	7bt
unique	484	Brittlequick		1		9ga	gothic axe	weapon	exceptional	axe	slam	50	46	-4	59	25	gax	9ga	7ga
unique	488	Woodland Beast		1		7la	feral axe	weapon	elite	axe	slam	70	57	-13	75	42	lax	9la	7la
unique	489	Werewolf Slayer		1		7la	Feral Axe	weapon	elite	axe	slam	70	57	-13	77	42	lax	9la	7la
unique	490	Shapeshifter		1		7ba	silver-edged axe	weapon	elite	axe	slam	68	65	-3	69	48	bax	9ba	7ba
unique	500	Qikadar's Laughter		1		flc	Falchion	weapon	normal	swor	1wep	12	11	-1	20	0	flc	9fc	7fc
unique	535	Rhinoceros Strength		1		7ls	cryptic sword	weapon	elite	swor	1wep	83	82	-1	85	61	lsd	9ls	7ls
unique	550	Celestial Tiger		1		92h	Espandon	weapon	exceptional	swor	slam	40	37	-3	48	25	2hs	92h	72h
unique	554	Thunderclap		1		72h	legend sword	weapon	elite	swor	slam	85	59	-26	81	44	2hs	92h	72h
unique	560	Thundercall		1		9gd	executioner sword	weapon	exceptional	swor	slam	60	54	-6	70	25	gsd	9gd	7gd
unique	564	Blade of Conan		1		7cm	highland blade	weapon	elite	swor	slam	70	66	-4	75	49	clm	9cm	7cm
unique	571	Bramble Oak		1		clb	club	weapon	normal	club	1wep	12	1	-11	20	0	clb	9cl	7cl
unique	573	Troll's Nail		1		spc	spiked club	weapon	normal	club	1wep	12	4	-8	25	0	spc	9sp	7sp
unique	575	Dawn of Skeon		1		9cl	cudgel	weapon	exceptional	club	1wep	35	30	-5	50	18	clb	9cl	7cl
unique	577	Umbral's Bat		1		9sp	barbed club	weapon	exceptional	club	1wep	43	32	-11	59	20	spc	9sp	7sp
unique	578	Eater of Souls		1		9sp	barbed club	weapon	exceptional	club	1wep	36	32	-4	46	20	spc	9sp	7sp
unique	579	Stirgi's Club		1		7cl	truncheon	weapon	elite	club	1wep	65	52	-13	70	39	clb	9cl	7cl
unique	580	Rotbranch		1		7sp	tyrant club	weapon	elite	club	1wep	75	57	-18	82	42	spc	9sp	7sp
unique	583	Hammer of Jholm		1		9wh	battle hammer	weapon	exceptional	hamm	1wep	55	48	-7	60	25	whm	9wh	7wh
unique	585	Famorian's Club		1		mau	maul	weapon	normal	hamm	slam	25	21	-4	39	0	mau	9m9	7m7
unique	589	Hill Giant's Bludgeon		1		9m9	war club	weapon	exceptional	hamm	slam	55	45	-10	59	25	mau	9m9	7m7
unique	591	Doom Avatar		1		9gm	martel de fer	weapon	exceptional	hamm	slam	55	53	-2	65	25	gma	9gm	7gm
unique	593	Astral Dreadnought		1		7m7	ogre maul	weapon	elite	hamm	slam	85	69	-16	87	51	mau	9m9	7m7
unique	594	Hycandra		1		mac	mace	weapon	normal	mace	1wep	12	8	-4	20	0	mac	9ma	7ma
unique	596	Dawn's Mist		1		mst	morning star	weapon	normal	mace	1wep	25	13	-12	29	0	mst	9mt	7mt
unique	598	Lashfire		1		fla	flail	weapon	normal	mace	1wep	25	19	-6	34	0	fla	9fl	7fl
unique	599	The Quickening		1		fla	flail	weapon	normal	mace	1wep	25	19	-6	29	0	fla	9fl	7fl
unique	600	Cat Tail		1		9ma	flanged mace	weapon	exceptional	mace	1wep	40	35	-5	55	23	mac	9ma	7ma
unique	601	Demise of the Weak		1		9ma	flanged mace	weapon	exceptional	mace	1wep	36	35	-1	45	23	mac	9ma	7ma
unique	604	Efreeti's Eye		1		9fl	knout	weapon	exceptional	mace	1wep	45	43	-2	57	25	fla	9fl	7fl
unique	605	Frantic Distress		1		9fl	knout	weapon	exceptional	mace	1wep	45	43	-2	53	25	fla	9fl	7fl
unique	606	Star Dust		1		7ma	reinforced mace	weapon	elite	mace	1wep	65	63	-2	75	47	mac	9ma	7ma
unique	607	Fist of Lachdanan		1		7ma	Reinforced Mace	weapon	elite	mace	1wep	70	63	-7	80	47	mac	9ma	7ma
unique	608	Soulgatherer		1		7mt	devil star	weapon	elite	mace	1wep	72	70	-2	77	52	mst	9mt	7mt
unique	609	Angelic Sympathy		1		scp	scepter	weapon	normal	scep	1wep	12	3	-9	19	0	scp	9sc	7sc
unique	613	Crusader's Wrath		1		9ws	divine scepter	weapon	exceptional	scep	1wep	62	45	-17	68	25	wsp	9ws	7ws
unique	615	Runestar		1		9sc	rune scepter	weapon	exceptional	scep	1wep	50	31	-19	55	19	scp	9sc	7sc
unique	617	Trianthalon's Sprinkler		1		9qs	holy water sprinkler	weapon	exceptional	scep	1wep	55	40	-15	58	25	gsc	9qs	7qs
unique	619	Celestial Knight		1		wsp	war scepter	weapon	normal	scep	1wep	36	21	-15	46	0	wsp	9ws	7ws
unique	620	Lord of Riddles		1		9ws	divine scepter	weapon	exceptional	scep	1wep	48	45	-3	54	25	wsp	9ws	7ws
unique	621	Celestial Judgment		1		7qs	seraph rod	weapon	elite	scep	1wep	78	76	-2	81	57	gsc	9qs	7qs
unique	624	Vampire's Fang		1		dgr	dagger	weapon	normal	knif	1wep	12	3	-9	20	0	dgr	9dg	7dg
unique	626	Gornnagal's Dirk		1		dir	dirk	weapon	normal	knif	1wep	12	9	-3	20	0	dir	9di	7di
unique	627	Prisoner's Anguish		1		dir	dirk	weapon	normal	knif	1wep	12	9	-3	14	0	dir	9di	7di
unique	645	Sleepthorn		1		spr	spear	weapon	normal	spea		12	5	-7	18	0	spr	9sr	7sr
unique	646	Zealot's Branch		1		7tr	Stygian Pike	weapon	elite	spea		85	66	-19	85	49	tri	9tr	7tr
unique	647	Mako's Pierce		1		tri	trident	weapon	normal	spea		12	9	-3	23	0	tri	9tr	7tr
unique	648	Deceiver's Device		1		tri	trident	weapon	normal	spea		12	9	-3	15	0	tri	9tr	7tr
unique	649	Spear of Hydragoon		1		brn	brandistock	weapon	normal	spea		22	16	-6	30	0	brn	9br	7br
unique	651	Dragon Turtle		1		spt	spetum	weapon	normal	spea		25	20	-5	32	0	spt	9st	7st
unique	652	Ruemonger		1		spt	spetum	weapon	normal	spea		25	20	-5	30	0	spt	9st	7st
unique	653	Footman's Picket		1		pik	pike	weapon	normal	spea		30	24	-6	38	0	pik	9p9	7p7
unique	655	Old Wolf		1		9sr	war spear	weapon	exceptional	spea		40	33	-7	45	21	spr	9sr	7sr
unique	668	Imperial Passion		1		7br	mancatcher	weapon	elite	spea		85	74	-11	85	55	brn	9br	7br
unique	669	Spirit of Lachdanan		1		7st	ghost spear	weapon	elite	spea		85	83	-2	90	62	spt	9st	7st
unique	671	Prancing Pike		1		7p7	war pike	weapon	elite	spea		86	85	-1	86	66	pik	9p9	7p7
unique	672	Hylocan Axe		1		bar	bardiche	weapon	normal	pole	slam	12	5	-7	20	0	bar	9b7	7o7
unique	674	Simpering Edge		1		vou	voulge	weapon	normal	pole	slam	20	11	-9	23	0	vou	9vo	7vo
unique	676	Slayer of Fields		1		scy	scythe	weapon	normal	pole	slam	20	15	-5	26	0	scy	9s8	7s8
unique	684	Count Kidran's Axe		1		9b7	lochaber axe	weapon	exceptional	pole	slam	40	33	-7	44	21	bar	9b7	7o7
unique	686	Griefspawn Touch		1		9vo	bill	weapon	exceptional	pole	slam	50	37	-13	50	25	vou	9vo	7vo
unique	690	Moonlight Edge		1		9pa	partizan	weapon	exceptional	pole	slam	45	35	-10	53	23	pax	9pa	7pa
unique	691	Trial by Fire		1		9pa	partizan	weapon	exceptional	pole	slam	42	35	-7	49	23	pax	9pa	7pa
unique	693	Father of Nations		1		9h9	bec-de-corbin	weapon	exceptional	pole	slam	55	51	-4	57	25	hal	9h9	7h7
unique	701	Cloud Giant's Axe		1		7h7	great poleaxe	weapon	elite	pole	slam	85	84	-1	87	63	hal	9h9	7h7
unique	704	Invoker		1		sst	short staff	weapon	normal	staf	slam	12	1	-11	20	0	sst	8ss	6ss
unique	706	Touch of Evil		1		lst	long staff	weapon	normal	staf	slam	17	8	-9	29	0	lst	8ls	6ls
unique	709	Wizard's Rule		1		cst	gnarled staff	weapon	normal	staf	slam	25	12	-13	32	0	cst	8cs	6cs
unique	711	Staff of the Arch-Magus		1		bst	battle staff	weapon	normal	staf	slam	25	17	-8	36	0	bst	8bs	6bs
unique	713	Warmth of Ash		1		wst	war staff	weapon	normal	staf	slam	25	24	-1	40	0	wst	8ws	6ws
unique	715	Arctic Frost		1		8ss	jo staff	weapon	exceptional	staf	slam	45	30	-15	55	18	sst	8ss	6ss
unique	717	Ter'Angreal		1		8ls	quarterstaff	weapon	exceptional	staf	slam	40	35	-5	50	23	lst	8ls	6ls
unique	719	Staff of Valere		1		8cs	cedar staff	weapon	exceptional	staf	slam	50	38	-12	56	25	cst	8cs	6cs
unique	721	Knight's Prophet		1		8bs	gothic staff	weapon	exceptional	staf	slam	55	42	-13	60	25	bst	8bs	6bs
unique	723	Arcane Protection		1		8ws	rune staff	weapon	exceptional	staf	slam	55	47	-8	65	25	wst	8ws	6ws
unique	725	Road to Perdition		1		6ss	walking stick	weapon	elite	staf	slam	59	58	-1	67	43	sst	8ss	6ss
unique	729	Light of Ra		1		6cs	elder staff	weapon	elite	staf	slam	75	74	-1	80	55	cst	8cs	6cs
unique	733	Acolyte's Wand		1		wnd	wand	weapon	normal	wand	1wep	17	2	-15	25	0	wnd	9wn	7wn
