candidate_id	candidate	side	item_type	group	band	level	maxlevel	levelreq	frequency	source_apex_line	source_apex_name	source_apex_level	source_apex_maxlevel	source_apex_levelreq	source_apex_frequency
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	120	early	50	65	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	120	mid	66	80	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	afwe	120	late	81		35	2	376	Jade	55		41	2
greater-aureolin	Greater Aureolin	prefix	afwe	121	early	50	65	10	3	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	afwe	121	mid	66	80	10	5	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	afwe	121	late	81		10	8	410	Victorious	17		12	8
greater-celestial	Greater Celestial	prefix	afwe	123	early	50	65	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	afwe	123	mid	66	80	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	afwe	123	late	81		35	2	104	Celestial	55		41	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	early	50	65	38	1	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	mid	66	80	38	1	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	late	81		38	2	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	early	50	65	38	1	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	mid	66	80	38	1	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	late	81		38	2	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	early	50	65	38	1	283	Echoing	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	mid	66	80	38	1	283	Echoing	60		45	2
greater-skilltab	Greater Skilltab	prefix	afwe	125	late	81		38	2	283	Echoing	60		45	2
greater-avatar	Greater Avatar	prefix	afwe	137	early	50	65	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	afwe	137	mid	66	80	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	afwe	137	late	81		51	2	333	Hibernal	70		60	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	138	early	50	65	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	138	mid	66	80	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	138	late	81		57	2	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	139	early	50	65	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	139	mid	66	80	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	139	late	81		56	2	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	140	early	50	65	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	140	mid	66	80	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	afwe	140	late	81		31	2	348	Pestilent	50		37	2
greater-divine	Greater Divine	prefix	afwe	142	early	50	65	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	afwe	142	mid	66	80	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	afwe	142	late	81		31	2	110	Divine	45		37	2
greater-veracious	Greater Veracious	prefix	afwe	200	early	50	65	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	afwe	200	mid	66	80	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	afwe	200	late	81		64	2	134	Veracious1	85		75	2
greater-elemental-prefix	Greater Elemental	prefix	afwe	203	early	50	65	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	afwe	203	mid	66	80	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	afwe	203	late	81		65	2	449	Elemental1	80		77	2
greater-sage-xp	Greater Sage	prefix	afwe	204	early	50	65	39	2	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	afwe	204	mid	66	80	39	4	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	afwe	204	late	81		39	6	452	Sage's	51		46	6
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	afwe	206	early	50	65	55	1	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	afwe	206	mid	66	80	55	3	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	afwe	206	late	81		55	4	468	Adamantine-Wrought	87		65	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	early	50	65	75	1	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	mid	66	80	75	3	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	late	81		75	4	75	Grandmaster's	84		88	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	early	50	65	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	mid	66	80	75	1	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	late	81		75	2	76	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	early	50	65	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	mid	66	80	75	1	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	late	81		75	2	77	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	early	50	65	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	mid	66	80	75	1	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	late	81		75	2	78	Grandmaster's	86		88	2
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	early	50	65	68	1	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	mid	66	80	68	3	98	Wraithly1	86		80	4
greater-grandmasters	Greater Grandmaster's	prefix	ajav	111	late	81		68	4	98	Wraithly1	86		80	4
greater-gritty	Greater Gritty	prefix	ajav	105	early	50	65	55	5	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	ajav	105	mid	66	80	55	9	153	Gritty	75		65	14
greater-gritty	Greater Gritty	prefix	ajav	105	late	81		55	14	153	Gritty	75		65	14
greater-platinum	Greater Platinum	prefix	ajav	110	early	50	65	34	3	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	ajav	110	mid	66	80	34	5	120	Weird	44		40	8
greater-platinum	Greater Platinum	prefix	ajav	110	late	81		34	8	120	Weird	44		40	8
greater-serpents	Greater Serpent's	prefix	ajav	115	early	50	65	23	1	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	ajav	115	mid	66	80	23	3	398	Serpent's	37		27	4
greater-serpents	Greater Serpent's	prefix	ajav	115	late	81		23	4	398	Serpent's	37		27	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	117	early	50	65	35	1	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	117	mid	66	80	35	3	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	117	late	81		35	4	353	Cobalt	55		41	4
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	118	early	50	65	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	118	mid	66	80	35	1	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	118	late	81		35	2	360	Garnet	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	119	early	50	65	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	119	mid	66	80	35	1	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	119	late	81		35	2	368	Coral	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	120	early	50	65	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	120	mid	66	80	35	1	376	Jade	55		41	2
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	ajav	120	late	81		35	2	376	Jade	55		41	2
greater-aureolin	Greater Aureolin	prefix	ajav	121	early	50	65	10	3	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	ajav	121	mid	66	80	10	5	410	Victorious	17		12	8
greater-aureolin	Greater Aureolin	prefix	ajav	121	late	81		10	8	410	Victorious	17		12	8
greater-celestial	Greater Celestial	prefix	ajav	123	early	50	65	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	ajav	123	mid	66	80	35	1	104	Celestial	55		41	2
greater-celestial	Greater Celestial	prefix	ajav	123	late	81		35	2	104	Celestial	55		41	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	early	50	65	38	1	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	mid	66	80	38	1	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	late	81		38	2	277	Master's	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	early	50	65	38	1	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	mid	66	80	38	1	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	late	81		38	2	280	Furious	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	early	50	65	38	1	283	Echoing	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	mid	66	80	38	1	283	Echoing	60		45	2
greater-skilltab	Greater Skilltab	prefix	ajav	125	late	81		38	2	283	Echoing	60		45	2
greater-avatar	Greater Avatar	prefix	ajav	137	early	50	65	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	ajav	137	mid	66	80	51	1	333	Hibernal	70		60	2
greater-avatar	Greater Avatar	prefix	ajav	137	late	81		51	2	333	Hibernal	70		60	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	138	early	50	65	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	138	mid	66	80	57	1	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	138	late	81		57	2	338	Scorching	77		67	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	139	early	50	65	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	139	mid	66	80	56	1	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	139	late	81		56	2	343	Shocking	76		66	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	140	early	50	65	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	140	mid	66	80	31	1	348	Pestilent	50		37	2
greater-weapon-elemental-prefix	Greater Scorching/Shocking/Pestilent	prefix	ajav	140	late	81		31	2	348	Pestilent	50		37	2
greater-divine	Greater Divine	prefix	ajav	142	early	50	65	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	ajav	142	mid	66	80	31	1	110	Divine	45		37	2
greater-divine	Greater Divine	prefix	ajav	142	late	81		31	2	110	Divine	45		37	2
greater-veracious	Greater Veracious	prefix	ajav	200	early	50	65	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	ajav	200	mid	66	80	64	1	134	Veracious1	85		75	2
greater-veracious	Greater Veracious	prefix	ajav	200	late	81		64	2	134	Veracious1	85		75	2
greater-elemental-prefix	Greater Elemental	prefix	ajav	203	early	50	65	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	ajav	203	mid	66	80	65	1	449	Elemental1	80		77	2
greater-elemental-prefix	Greater Elemental	prefix	ajav	203	late	81		65	2	449	Elemental1	80		77	2
greater-sage-xp	Greater Sage	prefix	ajav	204	early	50	65	39	2	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	ajav	204	mid	66	80	39	4	452	Sage's	51		46	6
greater-sage-xp	Greater Sage	prefix	ajav	204	late	81		39	6	452	Sage's	51		46	6
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	ajav	206	early	50	65	55	1	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	ajav	206	mid	66	80	55	3	468	Adamantine-Wrought	87		65	4
greater-adamantine-wrought	Greater Adamantine-Wrought	prefix	ajav	206	late	81		55	4	468	Adamantine-Wrought	87		65	4
greater-vulpine	Greater Vulpine	prefix	amul	107	early	50	65	5	2	412	Vulpine	9		6	6
greater-vulpine	Greater Vulpine	prefix	amul	107	mid	66	80	5	4	412	Vulpine	9		6	6
greater-vulpine	Greater Vulpine	prefix	amul	107	late	81		5	6	412	Vulpine	9		6	6
greater-platinum	Greater Platinum	prefix	amul	110	early	50	65	14	4	116	Gold	19		16	12
greater-platinum	Greater Platinum	prefix	amul	110	mid	66	80	14	8	116	Gold	19		16	12
greater-platinum	Greater Platinum	prefix	amul	110	late	81		14	12	116	Gold	19		16	12
greater-lucky	Greater Lucky	prefix	amul	114	early	50	65	7	3	418	Fortuitous	12		8	8
greater-lucky	Greater Lucky	prefix	amul	114	mid	66	80	7	5	418	Fortuitous	12		8	8
greater-lucky	Greater Lucky	prefix	amul	114	late	81		7	8	418	Fortuitous	12		8	8
greater-serpents	Greater Serpent's	prefix	amul	115	early	50	65	31	1	404	Bahamut's	45		37	4
greater-serpents	Greater Serpent's	prefix	amul	115	mid	66	80	31	3	404	Bahamut's	45		37	4
greater-serpents	Greater Serpent's	prefix	amul	115	late	81		31	4	404	Bahamut's	45		37	4
greater-shimmering	Greater Shimmering	prefix	amul	116	early	50	65	35	2	389	Chromatic	55		41	6
greater-shimmering	Greater Shimmering	prefix	amul	116	mid	66	80	35	4	389	Chromatic	55		41	6
greater-shimmering	Greater Shimmering	prefix	amul	116	late	81		35	6	389	Chromatic	55		41	6
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	amul	117	early	50	65	15	2	354	Sapphire	25		18	6
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	amul	117	mid	66	80	15	4	354	Sapphire	25		18	6
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	amul	117	late	81		15	6	354	Sapphire	25		18	6
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	amul	118	early	50	65	15	2	361	Ruby	25		18	6
greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	prefix	amul	118	mid	66	80	15	4	361	Ruby	25		18	6
