side	line	greater_affix	description	band	group	level	maxlevel	levelreq	frequency	itypes	etypes	greater_exact_mods	greater_property_stats	apex_affix	apex_line	apex_description	apex_level	apex_maxlevel	apex_levelreq	apex_frequency	apex_exact_mods	apex_mapping_note
prefix	1310	Greater Godly	Greater +#% Enhanced Defense & Damage Reduced by #% [early; marker=property]	early	101	50	65	71	1	tors,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1311	Greater Godly	Greater +#% Enhanced Defense & Damage Reduced by #% [mid; marker=property]	mid	101	66	80	71	3	tors,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1312	Greater Godly	Greater +#% Enhanced Defense & Damage Reduced by #% [late; marker=property]	late	101	81		71	4	tors,shld		greater_m_ac% 300-300; greater_red-dmg% 30-30	greater_m_ac%: func1=2/stat1=greater_item_armor_percent/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Defense; greater_red-dmg%: func1=1/stat1=greater_damageresist/val1= | tooltip=Damage Reduced by #%	Godly	196	+#% Enhanced Defense	86		64	1100	ac% 201-225	exact base-name match
prefix	1313	Greater Antimagic	Greater Magic Resist +#% [early; marker=property]	early	102	50	65	68	3	shld,tors,orb,wand,staf		greater_m_res-mag 30-30	greater_m_res-mag: func1=1/stat1=greater_magicresist/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=Magic Resist +#%	Antimagic	549	Magic Resist +#%	86		68	80	res-mag 16-20	exact base-name match
prefix	1314	Greater Antimagic	Greater Magic Resist +#% [mid; marker=property]	mid	102	66	80	68	5	shld,tors,orb,wand,staf		greater_m_res-mag 30-30	greater_m_res-mag: func1=1/stat1=greater_magicresist/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=Magic Resist +#%	Antimagic	549	Magic Resist +#%	86		68	80	res-mag 16-20	exact base-name match
prefix	1315	Greater Antimagic	Greater Magic Resist +#% [late; marker=property]	late	102	81		68	8	shld,tors,orb,wand,staf		greater_m_res-mag 30-30	greater_m_res-mag: func1=1/stat1=greater_magicresist/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=Magic Resist +#%	Antimagic	549	Magic Resist +#%	86		68	80	res-mag 16-20	exact base-name match
prefix	1316	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [early; marker=property]	early	103	50	65	75	3	jewl		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	161	+# to Minimum Damage & +# to Maximum Damage	86		75	80	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1317	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [mid; marker=property]	mid	103	66	80	75	5	jewl		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	161	+# to Minimum Damage & +# to Maximum Damage	86		75	80	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1318	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [late; marker=property]	late	103	81		75	8	jewl		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	161	+# to Minimum Damage & +# to Maximum Damage	86		75	80	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1319	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [early; marker=property]	early	103	50	65	75	1	lcha		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	1083	+# to Minimum Damage & +# to Maximum Damage	86		75	30	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1320	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [mid; marker=property]	mid	103	66	80	75	2	lcha		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	1083	+# to Minimum Damage & +# to Maximum Damage	86		75	30	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1321	Greater Bloody	Greater +# to Minimum Damage & +# to Maximum Damage [late; marker=property]	late	103	81		75	3	lcha		greater_m_dmg-min 12-12; greater_dmg-max 24-24	greater_m_dmg-min: func1=5/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Minimum Damage; greater_dmg-max: func1=6/stat1=/val1= | tooltip=+# to Maximum Damage	Bloody	1083	+# to Minimum Damage & +# to Maximum Damage	86		75	30	dmg-min 6-8; dmg-max 13-15	exact base-name match
prefix	1322	Greater Vermillion	Greater +# to Maximum Damage [early; marker=property]	early	104	50	65	43	3	jewl		greater_m_dmg-max 20-20	greater_m_dmg-max: func1=6/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage	Vermillion	157	+# to Maximum Damage	58		43	80	dmg-max 11-15	exact base-name match
prefix	1323	Greater Vermillion	Greater +# to Maximum Damage [mid; marker=property]	mid	104	66	80	43	5	jewl		greater_m_dmg-max 20-20	greater_m_dmg-max: func1=6/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage	Vermillion	157	+# to Maximum Damage	58		43	80	dmg-max 11-15	exact base-name match
prefix	1324	Greater Vermillion	Greater +# to Maximum Damage [late; marker=property]	late	104	81		43	8	jewl		greater_m_dmg-max 20-20	greater_m_dmg-max: func1=6/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage	Vermillion	157	+# to Maximum Damage	58		43	80	dmg-max 11-15	exact base-name match
prefix	1325	Greater Serrated	Greater +#% Enhanced Damage [early; marker=property]	early	104	50	65	69	1	lcha		greater_m_dmg% 35-35	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Serrated	1054	+#% Enhanced Damage	81		69	30	dmg% 20-25	exact base-name match
prefix	1326	Greater Serrated	Greater +#% Enhanced Damage [mid; marker=property]	mid	104	66	80	69	2	lcha		greater_m_dmg% 35-35	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Serrated	1054	+#% Enhanced Damage	81		69	30	dmg% 20-25	exact base-name match
prefix	1327	Greater Serrated	Greater +#% Enhanced Damage [late; marker=property]	late	104	81		69	3	lcha		greater_m_dmg% 35-35	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Serrated	1054	+#% Enhanced Damage	81		69	30	dmg% 20-25	exact base-name match
prefix	1328	Greater Gritty	Greater +# to Maximum Damage (Based on Character Level) [early; marker=property]	early	105	50	65	55	5	weap	orb,wand,orb	greater_m_dmg/lvl(param=21)	greater_m_dmg/lvl: func1=17/stat1=item_maxdamage_perlevel/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage (Based on Character Level)	Gritty	172	+# to Maximum Damage (Based on Character Level)	75		55	140	dmg/lvl(param=16)	exact base-name match
prefix	1329	Greater Gritty	Greater +# to Maximum Damage (Based on Character Level) [mid; marker=property]	mid	105	66	80	55	9	weap	orb,wand,orb	greater_m_dmg/lvl(param=21)	greater_m_dmg/lvl: func1=17/stat1=item_maxdamage_perlevel/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage (Based on Character Level)	Gritty	172	+# to Maximum Damage (Based on Character Level)	75		55	140	dmg/lvl(param=16)	exact base-name match
prefix	1330	Greater Gritty	Greater +# to Maximum Damage (Based on Character Level) [late; marker=property]	late	105	81		55	14	weap	orb,wand,orb	greater_m_dmg/lvl(param=21)	greater_m_dmg/lvl: func1=17/stat1=item_maxdamage_perlevel/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Maximum Damage (Based on Character Level)	Gritty	172	+# to Maximum Damage (Based on Character Level)	75		55	140	dmg/lvl(param=16)	exact base-name match
prefix	1331	Greater Vicious	Greater +#% Enhanced Damage [early; marker=property]	early	105	50	65	54	8	circ		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Vicious	18	+#% Enhanced Damage	70		54	240	dmg% 26-40	exact base-name match
prefix	1332	Greater Vicious	Greater +#% Enhanced Damage [mid; marker=property]	mid	105	66	80	54	16	circ		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Vicious	18	+#% Enhanced Damage	70		54	240	dmg% 26-40	exact base-name match
prefix	1333	Greater Vicious	Greater +#% Enhanced Damage [late; marker=property]	late	105	81		54	24	circ		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Vicious	18	+#% Enhanced Damage	70		54	240	dmg% 26-40	exact base-name match
prefix	1334	Greater Ruby	Greater +#% Enhanced Damage [early; marker=property]	early	105	50	65	49	3	jewl		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Ruby	23	+#% Enhanced Damage	66		49	100	dmg% 31-40	exact base-name match
prefix	1335	Greater Ruby	Greater +#% Enhanced Damage [mid; marker=property]	mid	105	66	80	49	7	jewl		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Ruby	23	+#% Enhanced Damage	66		49	100	dmg% 31-40	exact base-name match
prefix	1336	Greater Ruby	Greater +#% Enhanced Damage [late; marker=property]	late	105	81		49	10	jewl		greater_m_dmg% 52-52	greater_m_dmg%: func1=7/stat1=/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+#% Enhanced Damage	Ruby	23	+#% Enhanced Damage	66		49	100	dmg% 31-40	exact base-name match
prefix	1337	Greater Vulpine	Greater #% Damage Taken Goes To Mana [early; marker=property]	early	107	50	65	5	2	shld,amul,orb,staf		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Vulpine	524	#% Damage Taken Goes To Mana	9		5	60	dmg-to-mana 7-12	exact base-name match
prefix	1338	Greater Vulpine	Greater #% Damage Taken Goes To Mana [mid; marker=property]	mid	107	66	80	5	4	shld,amul,orb,staf		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Vulpine	524	#% Damage Taken Goes To Mana	9		5	60	dmg-to-mana 7-12	exact base-name match
prefix	1339	Greater Vulpine	Greater #% Damage Taken Goes To Mana [late; marker=property]	late	107	81		5	6	shld,amul,orb,staf		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Vulpine	524	#% Damage Taken Goes To Mana	9		5	60	dmg-to-mana 7-12	exact base-name match
prefix	1340	Greater Dun	Greater #% Damage Taken Goes To Mana [early; marker=property]	early	107	50	65	4	2	jewl		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Dun	526	#% Damage Taken Goes To Mana	7		4	60	dmg-to-mana 7-12	exact base-name match
prefix	1341	Greater Dun	Greater #% Damage Taken Goes To Mana [mid; marker=property]	mid	107	66	80	4	4	jewl		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Dun	526	#% Damage Taken Goes To Mana	7		4	60	dmg-to-mana 7-12	exact base-name match
prefix	1342	Greater Dun	Greater #% Damage Taken Goes To Mana [late; marker=property]	late	107	81		4	6	jewl		greater_m_dmg-to-mana 20-20	greater_m_dmg-to-mana: func1=1/stat1=greater_item_damagetomana/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=#% Damage Taken Goes To Mana	Dun	526	#% Damage Taken Goes To Mana	7		4	60	dmg-to-mana 7-12	exact base-name match
prefix	1343	Greater Weird	Greater +# to Attack Rating [early; marker=property]	early	110	50	65	34	3	weap	orb,wand	greater_m_att 450-450	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating	Weird	134	+# to Attack Rating	44		34	80	att 301-450	exact base-name match
prefix	1344	Greater Weird	Greater +# to Attack Rating [mid; marker=property]	mid	110	66	80	34	5	weap	orb,wand	greater_m_att 450-450	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating	Weird	134	+# to Attack Rating	44		34	80	att 301-450	exact base-name match
prefix	1345	Greater Weird	Greater +# to Attack Rating [late; marker=property]	late	110	81		34	8	weap	orb,wand	greater_m_att 450-450	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating	Weird	134	+# to Attack Rating	44		34	80	att 301-450	exact base-name match
prefix	1346	Greater Gold	Greater +# to Attack Rating [early; marker=property]	early	110	50	65	14	4	weap,ring,circ,glov,amul	orb,wand	greater_m_att 450-450	greater_m_att: func1=1/stat1=greater_tohit/val1= | func2=1/stat2=item_greaterAffixMarker/val2= | tooltip=+# to Attack Rating	Gold	128	+# to Attack Rating	19		14	120	att 81-100	exact base-name match
