side	greater_affix	description_base	group	itypes	etypes	bands	greater_exact_mods	apex_affix	apex_exact_mods	apex_line	apex_mapping_note
prefix	Greater Grandmaster's	Greater #% Crushing Blow & +#% Enhanced Damage	111	weap	orb,wand	early L50-65 req75 freq1 line1295; mid L66-80 req75 freq1 line1296; late L81-? req75 freq2 line1297	greater_m_crush 40-40; greater_dmg% 500-500	Grandmaster's	crush 15-30; dmg% 301-350	82	exact base-name match
prefix	Greater Grandmaster's	Greater #% Deadly Strike & +#% Enhanced Damage	111	weap	orb,wand	early L50-65 req75 freq1 line1292; mid L66-80 req75 freq1 line1293; late L81-? req75 freq2 line1294	greater_m_deadly 40-40; greater_dmg% 500-500	Grandmaster's	deadly 15-30; dmg% 301-350	80	exact base-name match
prefix	Greater Grandmaster's	Greater +#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	111	weap	orb,wand	early L50-65 req68 freq1 line1301; mid L66-80 req68 freq3 line1302; late L81-? req68 freq4 line1303	greater_m_dmg% 500-500; greater_ethereal 1-1; greater_rep-dur(param=10)	Grandmaster's	openwounds 94-100; dmg% 301-350	84	exact base-name match
prefix	Greater Grandmaster's	Greater #% Open Wounds & +#% Enhanced Damage	111	weap	orb,wand	early L50-65 req75 freq1 line1298; mid L66-80 req75 freq1 line1299; late L81-? req75 freq2 line1300	greater_m_openwounds 100-100; greater_dmg% 500-500	Grandmaster's	openwounds 94-100; dmg% 301-350	84	exact base-name match
prefix	Greater Emerald	Greater #% Better Chance of Getting Magic Items	114	jewl		early L50-65 req10 freq3 line1361; mid L66-80 req10 freq5 line1362; late L81-? req10 freq8 line1363	greater_m_mag% 35-35	Emerald	mag% 3-7	534	exact base-name match
prefix	Greater Fortuitous	Greater #% Better Chance of Getting Magic Items	114	ring,amul,circ		early L50-65 req7 freq3 line1358; mid L66-80 req7 freq5 line1359; late L81-? req7 freq8 line1360	greater_m_mag% 35-35	Fortuitous	mag% 11-15	532	exact base-name match
prefix	Greater Lucky	Greater #% Better Chance of Getting Magic Items	114	lcha		early L50-65 req43 freq2 line1364; mid L66-80 req43 freq4 line1365; late L81-? req43 freq6 line1366	greater_m_mag% 35-35; greater_gold% 70-70	Lucky	mag% 20-25; gold% 40-50	1178	exact base-name match
prefix	Greater Bahamut's	Greater +# to Mana	115	rod,ring,amul,orb,circ		early L50-65 req31 freq1 line1370; mid L66-80 req31 freq3 line1371; late L81-? req31 freq4 line1372	greater_m_mana 85-85	Bahamut's	mana 91-120	511	exact base-name match
prefix	Greater Dragon's	Greater +# to Mana	115	tors,boot,glov		early L50-65 req33 freq1 line1376; mid L66-80 req33 freq3 line1377; late L81-? req33 freq4 line1378	greater_m_mana 85-85	Dragon's	mana 31-40	507	exact base-name match
prefix	Greater Mnemonic	Greater +# to Mana (Based on Character Level)	115	helm		early L50-65 req15 freq1 line1382; mid L66-80 req15 freq1 line1383; late L81-? req15 freq2 line1384	greater_m_mana/lvl(param=8)	Mnemonic	mana/lvl(param=6)	517	exact base-name match
prefix	Greater Serpent's	Greater +# to Mana	115	tors,boot,glov,weap,orb	rod	early L50-65 req23 freq1 line1367; mid L66-80 req23 freq3 line1368; late L81-? req23 freq4 line1369	greater_m_mana 85-85	Serpent's	mana 11-20	503	exact base-name match
prefix	Greater Serpent's	Greater +# to Mana	115	shld,rod,belt,ring,amul,circ		early L1-65 req9 freq2 line1373; mid L66-80 req9 freq4 line1374; late L81-? req9 freq6 line1375	greater_m_mana 85-85	Serpent's	mana 11-20	501	exact base-name match
prefix	Greater Serpent's	Greater +# to Mana	115	lcha		early L50-65 req72 freq1 line1385; mid L66-80 req72 freq2 line1386; late L81-? req72 freq3 line1387	greater_m_mana 85-85	Serpent's	mana 53-59	1174	exact base-name match
prefix	Greater Turquoise	Greater +# to Mana	115	jewl		early L50-65 req18 freq1 line1379; mid L66-80 req18 freq3 line1380; late L81-? req18 freq4 line1381	greater_m_mana 85-85	Turquoise	mana 16-20	515	exact base-name match
prefix	Greater Chromatic	Greater All Resistances +#	116	amul,circ		early L50-65 req35 freq2 line1388; mid L66-80 req35 freq4 line1389; late L81-? req35 freq6 line1390	greater_m_res-all 40-40	Chromatic	res-all 21-30	490	exact base-name match
prefix	Greater Chromatic	Greater All Resistances +#	116	shld		early L50-65 req36 freq3 line1391; mid L66-80 req36 freq5 line1392; late L81-? req36 freq8 line1393	greater_m_res-all 40-40	Chromatic	res-all 21-30	484	exact base-name match
prefix	Greater Scintillating	Greater All Resistances +#	116	jewl		early L50-65 req22 freq1 line1394; mid L66-80 req22 freq1 line1395; late L81-? req22 freq2 line1396	greater_m_res-all 25-25	Scintillating	res-all 11-15	497	exact base-name match
prefix	Greater Scintillating	Greater All Resistances +#	116	ring		early L50-65 req50 freq1 line1400; mid L66-80 req50 freq3 line1401; late L81-? req50 freq4 line1402	greater_m_res-all 25-25	Scintillating	res-all 13-17	494	exact base-name match
prefix	Greater Shimmering	Greater All Resistances +#	116	lcha		early L50-65 req69 freq1 line1397; mid L66-80 req69 freq2 line1398; late L81-? req69 freq3 line1399	greater_m_res-all 18-18	Shimmering	res-all 10-12	1180	exact base-name match
prefix	Greater Ambergris	Greater Lightning Resist +#%	117	jewl		early L50-65 req12 freq3 line1442; mid L66-80 req12 freq5 line1443; late L81-? req12 freq8 line1444	greater_m_res-ltng 40-40	Ambergris	res-ltng 16-30	466	exact base-name match
prefix	Greater Cobalt	Greater Cold Resist +#%	117	weap	orb	early L50-65 req35 freq1 line1403; mid L66-80 req35 freq3 line1404; late L81-? req35 freq4 line1405	greater_m_res-cold 40-40	Cobalt	res-cold 21-30	439	exact base-name match
prefix	Greater Cobalt	Greater Cold Resist +#%	117	armo,ring,amul,orb,circ		early L50-65 req11 freq2 line1427; mid L66-80 req11 freq4 line1428; late L81-? req11 freq6 line1429	greater_m_res-cold 40-40	Cobalt	res-cold 21-30	437	exact base-name match
prefix	Greater Jade	Greater Poison Resist +#%	117	jewl		early L50-65 req12 freq3 line1445; mid L66-80 req12 freq5 line1446; late L81-? req12 freq8 line1447	greater_m_res-pois 40-40	Jade	res-pois 16-30	478	exact base-name match
prefix	Greater Sapphire	Greater Cold Resist +#%	117	rod,boot,amul,orb,circ		early L50-65 req15 freq2 line1415; mid L66-80 req15 freq4 line1416; late L81-? req15 freq6 line1417	greater_m_res-cold 40-40	Sapphire	res-cold 31-40	441	exact base-name match
prefix	Greater Sapphire	Greater Cold Resist +#%	117	jewl		early L50-65 req12 freq3 line1439; mid L66-80 req12 freq5 line1440; late L81-? req12 freq8 line1441	greater_m_res-cold 40-40	Sapphire	res-cold 16-30	444	exact base-name match
prefix	Greater Sapphire	Greater Cold Resist +#%	117	lcha		early L50-65 req47 freq2 line1448; mid L66-80 req47 freq4 line1449; late L81-? req47 freq6 line1450	greater_m_res-cold 40-40	Sapphire	res-cold 26-30	1146	exact base-name match
prefix	Greater Garnet	Greater Fire Resist +#%	118	weap	orb	early L50-65 req35 freq1 line1406; mid L66-80 req35 freq1 line1407; late L81-? req35 freq2 line1408	greater_m_res-fire 40-40	Garnet	res-fire 21-30	450	exact base-name match
prefix	Greater Garnet	Greater Fire Resist +#%	118	armo,ring,amul,orb,circ		early L50-65 req11 freq2 line1430; mid L66-80 req11 freq4 line1431; late L81-? req11 freq6 line1432	greater_m_res-fire 40-40	Garnet	res-fire 21-30	448	exact base-name match
prefix	Greater Ruby	Greater Fire Resist +#%	118	rod,boot,amul,orb,circ		early L50-65 req15 freq2 line1418; mid L66-80 req15 freq4 line1419; late L81-? req15 freq6 line1420	greater_m_res-fire 40-40	Ruby	res-fire 31-40	452	exact base-name match
prefix	Greater Ruby	Greater Fire Resist +#%	118	lcha		early L50-65 req47 freq2 line1451; mid L66-80 req47 freq4 line1452; late L81-? req47 freq6 line1453	greater_m_res-fire 40-40	Ruby	res-fire 26-30	1151	exact base-name match
prefix	Greater Amber	Greater Lightning Resist +#%	119	rod,boot,amul,orb,circ		early L50-65 req15 freq2 line1421; mid L66-80 req15 freq4 line1422; late L81-? req15 freq6 line1423	greater_m_res-ltng 40-40	Amber	res-ltng 31-40	463	exact base-name match
prefix	Greater Amber	Greater Lightning Resist +#%	119	lcha		early L50-65 req47 freq2 line1454; mid L66-80 req47 freq4 line1455; late L81-? req47 freq6 line1456	greater_m_res-ltng 40-40	Amber	res-ltng 26-30	1156	exact base-name match
prefix	Greater Coral	Greater Lightning Resist +#%	119	weap	orb	early L50-65 req35 freq1 line1409; mid L66-80 req35 freq1 line1410; late L81-? req35 freq2 line1411	greater_m_res-ltng 40-40	Coral	res-ltng 21-30	461	exact base-name match
prefix	Greater Coral	Greater Lightning Resist +#%	119	armo,ring,amul,orb,circ		early L50-65 req11 freq2 line1433; mid L66-80 req11 freq4 line1434; late L81-? req11 freq6 line1435	greater_m_res-ltng 40-40	Coral	res-ltng 21-30	459	exact base-name match
prefix	Greater Emerald	Greater Poison Resist +#%	120	rod,boot,amul,orb,circ		early L50-65 req15 freq2 line1424; mid L66-80 req15 freq4 line1425; late L81-? req15 freq6 line1426	greater_m_res-pois 40-40	Emerald	res-pois 31-40	475	exact base-name match
prefix	Greater Emerald	Greater Poison Resist +#%	120	lcha		early L50-65 req47 freq2 line1457; mid L66-80 req47 freq4 line1458; late L81-? req47 freq6 line1459	greater_m_res-pois 40-40	Emerald	res-pois 26-30	1161	exact base-name match
prefix	Greater Jade	Greater Poison Resist +#%	120	weap	orb	early L50-65 req35 freq1 line1412; mid L66-80 req35 freq1 line1413; late L81-? req35 freq2 line1414	greater_m_res-pois 40-40	Jade	res-pois 21-30	473	exact base-name match
prefix	Greater Jade	Greater Poison Resist +#%	120	armo,ring,amul,orb,circ		early L50-65 req11 freq2 line1436; mid L66-80 req11 freq4 line1437; late L81-? req11 freq6 line1438	greater_m_res-pois 40-40	Jade	res-pois 21-30	471	exact base-name match
prefix	Greater Aureolin	Greater +# to Mana after each Kill	121	jewl		early L50-65 req14 freq3 line1463; mid L66-80 req14 freq5 line1464; late L81-? req14 freq8 line1465	greater_m_mana-kill 5-5	Aureolin	mana-kill 1-3	522	exact base-name match
prefix	Greater Victorious	Greater +# to Mana after each Kill	121	weap		early L50-65 req10 freq3 line1460; mid L66-80 req10 freq5 line1461; late L81-? req10 freq8 line1462	greater_m_mana-kill 5-5	Victorious	mana-kill 2-5	520	exact base-name match
prefix	Greater Celestial	Greater +# to Attack Rating against Demons & +#% Damage to Demons	123	weap	wand,orb	early L50-65 req35 freq1 line1466; mid L66-80 req35 freq1 line1467; late L81-? req35 freq2 line1468	greater_m_att-demon 550-550; greater_dmg-demon 425-425	Celestial	att-demon 301-400; dmg-demon 201-300	112	exact base-name match
prefix	Greater Diamond	Greater +# to Attack Rating against Demons & +#% Damage to Demons	123	jewl		early L50-65 req16 freq1 line1469; mid L66-80 req16 freq1 line1470; late L81-? req16 freq2 line1471	greater_m_att-demon 550-550; greater_dmg-demon 425-425	Diamond	att-demon 25-50; dmg-demon 25-40	114	exact base-name match
prefix	Greater Accursed	Greater +# to Curses	125	wand,head,amul,circ		early L50-65 req38 freq1 line1580; mid L66-80 req38 freq1 line1581; late L81-? req38 freq2 line1582	greater_m_skilltab(param=6) 4-4	Accursed	skilltab(param=6) 3-3	314	exact base-name match
prefix	Greater Arch-Angel's	Greater +# to Sorceress Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1493; mid L66-80 req57 freq3 line1494; late L81-? req57 freq4 line1495	greater_m_sor 3-3	Arch-Angel's	sor 2-2	253	exact base-name match
prefix	Greater Arch-Angel's	Greater +# to Sorceress Skill Levels	125	tors		early L50-65 req64 freq1 line1526; mid L66-80 req64 freq1 line1527; late L81-? req64 freq2 line1528	greater_m_sor 3-3	Arch-Angel's	sor 2-2	251	exact base-name match
prefix	Greater Arch-Angel's	Greater +# to Sorceress Skill Levels	125	staf,orb		early L50-65 req36 freq1 line1550; mid L66-80 req36 freq3 line1551; late L81-? req36 freq4 line1552	greater_m_sor 3-3	Arch-Angel's	sor 2-2	256	exact base-name match
prefix	Greater Arch-Devil's	Greater +# Warlock Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1505; mid L66-80 req57 freq1 line1506; late L81-? req57 freq2 line1507	greater_m_war 3-3	Arch-Devil's	war 2-2	1228	exact base-name match
prefix	Greater Arch-Devil's	Greater +# Warlock Skill Levels	125	knif,grim		early L50-65 req36 freq1 line1541; mid L66-80 req36 freq1 line1542; late L81-? req36 freq2 line1543	greater_m_war 3-3	Arch-Devil's	war 2-2	1231	exact base-name match
prefix	Greater Archer's	Greater +# to Bow and Crossbow Skills	125	miss,glov		early L50-65 req38 freq1 line1556; mid L66-80 req38 freq1 line1557; late L81-? req38 freq2 line1558	greater_m_skilltab(param=0) 4-4	Archer's	skilltab(param=0) 3-3	290	exact base-name match
prefix	Greater Athlete's	Greater +# to Passive and Magic Skills	125	glov,amul,circ		early L50-65 req38 freq1 line1568; mid L66-80 req38 freq1 line1569; late L81-? req38 freq2 line1570	greater_m_skilltab(param=1) 4-4	Athlete's	skilltab(param=1) 3-3	294	exact base-name match
prefix	Greater Berserker's	Greater +# to Barbarian Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1496; mid L66-80 req57 freq3 line1497; late L81-? req57 freq4 line1498	greater_m_bar 3-3	Berserker's	bar 2-2	262	exact base-name match
prefix	Greater Berserker's	Greater +# to Barbarian Skill Levels	125	tkni,axe,spea,club,swor,hamm,mace	jave	early L50-65 req36 freq1 line1514; mid L66-80 req36 freq1 line1515; late L81-? req36 freq2 line1516	greater_m_bar 3-3	Berserker's	bar 2-2	265	exact base-name match
prefix	Greater Berserker's	Greater +# to Barbarian Skill Levels	125	tors		early L50-65 req64 freq1 line1529; mid L66-80 req64 freq1 line1530; late L81-? req64 freq2 line1531	greater_m_bar 3-3	Berserker's	bar 2-2	260	exact base-name match
prefix	Greater Berserker's	Greater +# to Barbarian Skill Levels	125	phlm		early L50-65 req36 freq1 line1553; mid L66-80 req36 freq3 line1554; late L81-? req36 freq4 line1555	greater_m_bar 3-3	Berserker's	bar 2-2	268	exact base-name match
prefix	Greater Communal	Greater +# to Shape Shifting Skills	125	club,pelt,amul,circ		early L50-65 req38 freq1 line1601; mid L66-80 req38 freq1 line1602; late L81-? req38 freq2 line1603	greater_m_skilltab(param=16) 4-4	Communal	skilltab(param=16) 3-3	354	exact base-name match
prefix	Greater Cunning	Greater +# to Traps	125	h2h,amul,circ		early L50-65 req38 freq1 line1607; mid L66-80 req38 freq1 line1608; late L81-? req38 freq2 line1609	greater_m_skilltab(param=18) 4-4	Cunning	skilltab(param=18) 3-3	362	exact base-name match
prefix	Greater Echoing	Greater +# to Warcries	125	phlm,weap,amul	miss,rod	early L50-65 req38 freq1 line1565; mid L66-80 req38 freq1 line1566; late L81-? req38 freq2 line1567	greater_m_skilltab(param=14) 4-4	Echoing	skilltab(param=14) 3-3	346	exact base-name match
prefix	Greater Forbidden	Greater +# Skill Tab (Class)	125	knif,grim,amul,swor,circ	tkni	early L50-65 req38 freq1 line1619; mid L66-80 req38 freq1 line1620; late L81-? req38 freq1 line1621	greater_m_skilltab(param=22) 4-4	Forbidden	skilltab(param=22) 3-3	1221	exact base-name match
prefix	Greater Furious	Greater +# to Combat Skills	125	phlm,weap,amul	miss,rod	early L50-65 req38 freq1 line1562; mid L66-80 req38 freq1 line1563; late L81-? req38 freq2 line1564	greater_m_skilltab(param=13) 4-4	Furious	skilltab(param=13) 3-3	342	exact base-name match
prefix	Greater Gaea's	Greater +# to Elemental Skills	125	club,pelt,amul,circ		early L50-65 req38 freq1 line1604; mid L66-80 req38 freq1 line1605; late L81-? req38 freq2 line1606	greater_m_skilltab(param=17) 4-4	Gaea's	skilltab(param=17) 3-3	358	exact base-name match
prefix	Greater Glacial	Greater +# to Cold Skills	125	staf,orb,amul,circ		early L50-65 req38 freq1 line1577; mid L66-80 req38 freq1 line1578; late L81-? req38 freq2 line1579	greater_m_skilltab(param=5) 4-4	Glacial	skilltab(param=5) 3-3	310	exact base-name match
prefix	Greater Golemlord's	Greater +# to Summoning Skills	125	wand,head,amul,circ		early L50-65 req38 freq1 line1586; mid L66-80 req38 freq1 line1587; late L81-? req38 freq2 line1588	greater_m_skilltab(param=8) 4-4	Golemlord's	skilltab(param=8) 3-3	322	exact base-name match
prefix	Greater Guardian's	Greater +# to Defensive Auras	125	shld,ashd,amul,circ		early L50-65 req38 freq1 line1595; mid L66-80 req38 freq1 line1596; late L81-? req38 freq2 line1597	greater_m_skilltab(param=11) 4-4	Guardian's	skilltab(param=11) 3-3	334	exact base-name match
prefix	Greater Hierophant's	Greater +# to Druid Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1499; mid L66-80 req57 freq3 line1500; late L81-? req57 freq4 line1501	greater_m_dru 3-3	Hierophant's	dru 2-2	274	exact base-name match
prefix	Greater Hierophant's	Greater +# to Druid Skill Levels	125	tors		early L50-65 req64 freq1 line1532; mid L66-80 req64 freq1 line1533; late L81-? req64 freq2 line1534	greater_m_dru 3-3	Hierophant's	dru 2-2	272	exact base-name match
prefix	Greater Hierophant's	Greater +# to Druid Skill Levels	125	club,pelt		early L50-65 req36 freq1 line1538; mid L66-80 req36 freq3 line1539; late L81-? req36 freq4 line1540	greater_m_dru 3-3	Hierophant's	dru 2-2	277	exact base-name match
prefix	Greater Keeper's	Greater +# to Summoning Skills	125	club,pelt,amul,circ		early L50-65 req38 freq1 line1598; mid L66-80 req38 freq1 line1599; late L81-? req38 freq2 line1600	greater_m_skilltab(param=15) 4-4	Keeper's	skilltab(param=15) 3-3	350	exact base-name match
prefix	Greater Kenshi's	Greater +# to Martial Arts	125	h2h,amul,glov,circ		early L50-65 req38 freq1 line1613; mid L66-80 req38 freq1 line1614; late L81-? req38 freq2 line1615	greater_m_skilltab(param=20) 4-4	Kenshi's	skilltab(param=20) 3-3	370	exact base-name match
prefix	Greater Lancer's	Greater +# to Javelin and Spear Skills	125	spea,glov		early L50-65 req38 freq1 line1625; mid L66-80 req38 freq1 line1626; late L81-? req38 freq2 line1627	greater_m_skilltab(param=2) 4-4	Lancer's	skilltab(param=2) 3-3	298	exact base-name match
prefix	Greater Malevolent	Greater +# Skill Tab (Class)	125	knif,grim,amul,circ		early L50-65 req38 freq1 line1622; mid L66-80 req38 freq1 line1623; late L81-? req38 freq1 line1624	greater_m_skilltab(param=21) 4-4	Malevolent	skilltab(param=21) 3-3	1225	exact base-name match
prefix	Greater Marshal's	Greater +# to Offensive Auras	125	scep,swor,mace,shld,ashd,amul,circ		early L50-65 req38 freq1 line1592; mid L66-80 req38 freq1 line1593; late L81-? req38 freq2 line1594	greater_m_skilltab(param=10) 4-4	Marshal's	skilltab(param=10) 3-3	330	exact base-name match
prefix	Greater Master's	Greater +# to Masteries	125	phlm,weap,helm	miss,rod	early L50-65 req38 freq1 line1559; mid L66-80 req38 freq1 line1560; late L81-? req38 freq2 line1561	greater_m_skilltab(param=12) 4-4	Master's	skilltab(param=12) 3-3	338	exact base-name match
prefix	Greater Necromancer's	Greater +# to Necromancer Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1490; mid L66-80 req57 freq3 line1491; late L81-? req57 freq4 line1492	greater_m_nec 3-3	Necromancer's	nec 2-2	244	exact base-name match
prefix	Greater Necromancer's	Greater +# to Necromancer Skill Levels	125	tors		early L50-65 req64 freq1 line1523; mid L66-80 req64 freq1 line1524; late L81-? req64 freq2 line1525	greater_m_nec 3-3	Necromancer's	nec 2-2	242	exact base-name match
prefix	Greater Necromancer's	Greater +# to Necromancer Skill Levels	125	wand,knif,head		early L50-65 req36 freq1 line1547; mid L66-80 req36 freq3 line1548; late L81-? req36 freq4 line1549	greater_m_nec 3-3	Necromancer's	nec 2-2	247	exact base-name match
prefix	Greater Omniscient	Greater +# to All Skills	125	tors,amul		early L50-65 req68 freq1 line1472; mid L66-80 req68 freq1 line1473; late L81-? req68 freq2 line1474	greater_m_allskills 3-3	Omniscient	allskills 2-2	217	exact base-name match
prefix	Greater Powered	Greater +# to Lightning Skills	125	staf,orb,amul,circ		early L50-65 req38 freq1 line1574; mid L66-80 req38 freq1 line1575; late L81-? req38 freq2 line1576	greater_m_skilltab(param=4) 4-4	Powered	skilltab(param=4) 3-3	306	exact base-name match
prefix	Greater Priest's	Greater +# to Paladin Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1487; mid L66-80 req57 freq3 line1488; late L81-? req57 freq4 line1489	greater_m_pal 3-3	Priest's	pal 2-2	232	exact base-name match
prefix	Greater Priest's	Greater +# to Paladin Skill Levels	125	scep,ashd		early L50-65 req36 freq1 line1508; mid L66-80 req36 freq3 line1509; late L81-? req36 freq4 line1510	greater_m_pal 3-3	Priest's	pal 2-2	235	exact base-name match
prefix	Greater Priest's	Greater +# to Paladin Skill Levels	125	swor,mace,hamm,shld		early L50-65 req49 freq1 line1511; mid L66-80 req49 freq3 line1512; late L81-? req49 freq4 line1513	greater_m_pal 3-3	Priest's	pal 2-2	238	exact base-name match
prefix	Greater Priest's	Greater +# to Paladin Skill Levels	125	tors		early L50-65 req64 freq1 line1520; mid L66-80 req64 freq1 line1521; late L81-? req64 freq2 line1522	greater_m_pal 3-3	Priest's	pal 2-2	230	exact base-name match
prefix	Greater Rose Branded	Greater +# to Combat Skills	125	scep,swor,mace,shld,ashd,amul,circ		early L50-65 req38 freq1 line1589; mid L66-80 req38 freq1 line1590; late L81-? req38 freq2 line1591	greater_m_skilltab(param=9) 4-4	Rose Branded	skilltab(param=9) 3-3	326	exact base-name match
prefix	Greater Sage's	Greater +# to All Skills	125	amul,tors,shld		early L50-65 req43 freq1 line1475; mid L66-80 req43 freq1 line1476; late L81-? req43 freq2 line1477	greater_m_allskills 3-3	Sage's	allskills 1-1	213	exact base-name match
prefix	Greater Sage's	Greater +# to All Skills	125	ring		early L50-65 req68 freq1 line1478; mid L66-80 req68 freq1 line1479; late L81-? req68 freq2 line1480	greater_m_allskills 3-3	Sage's	allskills 1-1	215	exact base-name match
prefix	Greater Shadow	Greater +# to Shadow Disciplines	125	h2h,amul,helm,circ		early L50-65 req38 freq1 line1610; mid L66-80 req38 freq1 line1611; late L81-? req38 freq2 line1612	greater_m_skilltab(param=19) 4-4	Shadow	skilltab(param=19) 3-3	366	exact base-name match
prefix	Greater Torrid	Greater +# Skill Tab (Class)	125	knif,grim,amul,circ		early L50-65 req38 freq1 line1616; mid L66-80 req38 freq1 line1617; late L81-? req38 freq1 line1618	greater_m_skilltab(param=23) 4-4	Torrid	skilltab(param=23) 3-3	1217	exact base-name match
