table	line	name	set	spawnable	disabled	item_code	item_name	category	tier	type	type2	current_lvl	proposed_lvl	delta	current_lvl_req	base_levelreq	normal_code	exceptional_code	elite_code
set	94	M'avina's Embrace	M'avina's Battle Hymn	1		uld	Kraken Shell	armor	elite	tors		21	81	60	70	61	fld	xld	uld
set	82	Tal Rasha's Guardianship	Tal Rasha's Wrappings	1		uth	Lacquered Plate	armor	elite	tors		26	82	56	71	62	gth	xth	uth
set	70	Aldur's Deception	Aldur's Watchtower	1		uul	Shadow Plate	armor	elite	tors		29	83	54	76	64	ful	xul	uul
set	74	Immortal King's Soul Cage	Immortal King	1		uar	Sacred Armor	armor	elite	tors		37	85	48	76	66	aar	xar	uar
set	116	Sazabi's Ghost Liberator	Sazabi's Grand Tribute	1		upl	Balrog Skin	armor	elite	tors		34	76	42	67	57	spl	xpl	upl
set	124	Naj's Light Plate	Naj's Ancient Vestige	1		ult	Hellforge Plate	armor	elite	tors		43	78	35	71	59	plt	xlt	ult
set	101	Dark Adherent	The Disciple	1		uui	Dusk Shroud	armor	elite	tors		39	65	26	43	49	qui	xui	uui
set	405	Ebony Plate of Evil	Stormsigil Vestments	1		urs	Great Hauberk	armor	elite	tors		50	75	25	56	56	brs	xrs	urs
set	245	Holy Aura	Brother Laz' Calling	1		uar	Sacred Plate	armor	elite	tors		60	85	25	83	66	aar	xar	uar
set	316	Death and Decay	The Warlord of Blood	1		utp	Archon Plate	armor	elite	tors		60	84	24	77	63	ltp	xtp	utp
set	309	Shadowed Plate	Zhoulomcrist's Dread	1		utp	Archon Plate	armor	elite	tors		60	84	24	65	63	ltp	xtp	utp
set	430	Mephisto's Misty Aura	Lords of Hell	1		uul	Shadow Plate	armor	elite	tors		60	83	23	80	64	ful	xul	uul
set	275	Myhrginoc's Black Rain	Myhrginoc's Warbreeder	1		uul	Shadow Plate	armor	elite	tors		60	83	23	77	64	ful	xul	uul
set	424	Angels	Celestial Hierarchy	1		uth	Lacquered Plate	armor	elite	tors		60	82	22	81	62	gth	xth	uth
set	286	Sundered Heart	The Darkest Weaves	1		uth	Lacquered Plate	armor	elite	tors		60	82	22	76	62	gth	xth	uth
set	420	Great White Terror	Terror of the Deep	1		uld	Kraken Shell	armor	elite	tors		60	81	21	74	61	fld	xld	uld
set	284	Silk Shroud	Kraj's Memorial	1		uld	Kraken Shell	armor	elite	tors		60	81	21	79	61	fld	xld	uld
set	414	Imperial Plate	Path of Bravery	1		ult	Hellforge Plate	armor	elite	tors		60	78	18	73	59	plt	xlt	ult
set	250	Spin's Paradox	The Mysterious Spin	1		ula	Scarab Husk	armor	elite	tors		50	68	18	51	51	hla	xla	ula
set	279	wicked Impulse	Nefarious Ways	1		ult	Hellforged Plate	armor	elite	tors		60	78	18	75	59	plt	xlt	ult
set	409	Helshazag	Kai Lord's Valiance	1		upl	Balrog Skin	armor	elite	tors		60	76	16	74	57	spl	xpl	upl
set	242	Onyx's Meteor Shower	Onyx's Primal Rage	1		upl	Balrog Skin	armor	elite	tors		60	76	16	80	57	spl	xpl	upl
set	268	Band of Mysticism	Chaos Energy	1		urs	Great Hauberk	armor	elite	tors		60	75	15	77	56	brs	xrs	urs
set	439	Maadi's Spirit	Maadi's Paradox	1		uhn	Boneweave	armor	elite	tors		47	62	15	47	47	chn	xhn	uhn
set	271	Chiad's Heartbane	Aiel Shieldmaiden	1		ucl	Loricated Mail	armor	elite	tors		60	73	13	75	55	scl	xcl	ucl
set	67	Natalya's Shadow	Natalya's Odium	1		ucl	Loricated Mail	armor	elite	tors		60	73	13	73	55	scl	xcl	ucl
set	395	Sir Tylan's Sylvan Mail	Corthala Family Heirlooms	1		ung	Diamond Mail	armor	elite	tors		60	72	12	73	54	rng	xng	ung
set	260	Way of the Shadow	Phrozen Heart's Mysticism	1		ung	Diamond Mail	armor	elite	tors		60	72	12	71	54	rng	xng	ung
set	290	Blood Raven's Curse	Blood Raven's Despair	1		utu	Wire Fleece	armor	elite	tors		60	70	10	77	53	stu	xtu	utu
set	302	Char's Carapace	Narrow Path Between Light and Darkness	1		utu	Wire Fleece	armor	elite	tors		60	70	10	65	53	stu	xtu	utu
set	325	Andariel's Breastbone	Marhawkman's Disguise	1		ula	Scarab Husk	armor	elite	tors		60	68	8	60	51	hla	xla	ula
set	390	Frostwyrm Hide	Tika's Request	1		uea	Wyrmhide	armor	elite	tors		60	67	7	60	50	lea	xea	uea
set	446	The Raven's Feathers	The Raven's Nest	1		uea	Wyrmhide	armor	elite	tors		60	67	7	60	50	lea	xea	uea
set	384	Holy Shroud of Amaunator	Amaunator's Peace	1		uui	Dusk Shroud	armor	elite	tors		60	65	5	70	49	qui	xui	uui
set	254	Darkmage's Falling Star	Darkmage's Astral Projection	1		uhn	Boneweave	armor	elite	tors		60	62	2	73	47	chn	xhn	uhn
set	400	Mail of Courageousness	Knight's Gallantry	1		uhn	Boneweave	armor	elite	tors		60	62	2	77	47	chn	xhn	uhn
set	452	Panda's Coat	Panda's Polar Adventure	1		uui	Dusk Shroud	armor	elite	tors		70	65	-5	80	49	qui	xui	uui
set	191	Prayer of Brother Laz	Insight of Brother Laz	1		pa8	Protector Shield	armor	exceptional	ashd		30	46	16	38	34	pa3	pa8	pad
set	448	Bulwark of the Vindicator	Tools of Vindication	1		pa9	Gilded Shield	armor	exceptional	ashd		59	51	-8	60	38	pa4	pa9	pae
set	378	Daystar Wrap	Kaldorn's Majesty	1		zhb	war Belt	armor	exceptional	belt		30	54	24	58	25	hbl	zhb	uhc
set	370	Embracing Hatred	Wrath of Vengeance	1		ztb	Battle Belt	armor	exceptional	belt		30	49	19	39	25	tbl	ztb	utc
set	96	M'avina's Tenet	M'avina's Battle Hymn	1		zvb	Sharkskin Belt	armor	exceptional	belt		21	39	18	45	25	vbl	zvb	uvc
set	75	Immortal King's Detail	Immortal King	1		zhb	War Belt	armor	exceptional	belt		37	54	17	29	25	hbl	zhb	uhc
set	79	Tal Rasha's Fine-Spun Cloth	Tal Rasha's Wrappings	1		zmb	Mesh Belt	armor	exceptional	belt		26	43	17	53	25	mbl	zmb	umc
set	296	Kingpin's Wrap	Treasure Hunter	1		ztb	Battle Belt	armor	exceptional	belt		35	49	14	25	25	tbl	ztb	utc
set	373	Equilibrium	Servitude or Rebellion	1		zmb	Mesh Belt	armor	exceptional	belt		30	43	13	43	25	mbl	zmb	umc
set	361	Death's Door	Forbidden Lore	1		zvb	Sharkskin Belt	armor	exceptional	belt		30	39	9	32	25	vbl	zvb	uvc
set	422	Mako's Quickness	Terror of the Deep	1		zvb	Sharkskin Belt	armor	exceptional	belt		30	39	9	39	25	vbl	zvb	uvc
set	313	Vengeance Unleashed	The Warlord of Blood	1		zhb	War Belt	armor	exceptional	belt		45	54	9	45	25	hbl	zhb	uhc
set	108	Wilhelm's Pride	Orphan's Call	1		ztb	Battle Belt	armor	exceptional	belt		41	49	8	42	25	tbl	ztb	utc
set	207	Drawing Out the Beast	Red Havoc's Challenge	1		zlb	Demonhide Sash	armor	exceptional	belt		30	36	6	32	24	lbl	zlb	ulc
set	317	Dying Curses	Darque Necromancy	1		zlb	Demonhide Sash	armor	exceptional	belt		30	36	6	30	24	lbl	zlb	ulc
set	389	Holy Sash of Amaunator	Amaunator's Peace	1		zlb	Demonhide Sash	armor	exceptional	belt		30	36	6	30	24	lbl	zlb	ulc
set	426	Virtue	Celestial Hierarchy	1		zlb	Demonhide Sash	armor	exceptional	belt		30	36	6	36	24	lbl	zlb	ulc
set	449	Belt of the Vindicator	Tools of Vindication	1		zmb	Mesh Belt	armor	exceptional	belt		40	43	3	40	25	mbl	zmb	umc
set	68	Natalya's Soul	Natalya's Odium	1		xmb	Mesh Boots	armor	exceptional	boot		17	43	26	25	25	mbt	xmb	umb
set	72	Aldur's Advance	Aldur's Watchtower	1		xtb	Battle Boots	armor	exceptional	boot		29	49	20	45	25	tbt	xtb	utb
set	412	Hallowed Greaves	Kai Lord's Valiance	1		xtb	Battle Boots	armor	exceptional	boot		30	49	19	58	25	tbt	xtb	utb
set	365	Hannibal's Bending Knee	Hannibal's Demise	1		xtb	Battle Boots	armor	exceptional	boot		30	49	19	45	25	tbt	xtb	utb
set	77	Immortal King's Pillar	Immortal King	1		xhb	War Boots	armor	exceptional	boot		37	54	17	31	25	hbt	xhb	uhb
set	297	Kingpin's Greaves	Treasure Hunter	1		xtb	Battle Boots	armor	exceptional	boot		35	49	14	42	25	tbt	xtb	utb
set	329	Phasewalker Boots	Sines Psionics	1		xhb	War Boots	armor	exceptional	boot		40	54	14	40	25	hbt	xhb	uhb
set	399	Lady Daan's Celeritous Jambeau	Corthala Family Heirlooms	1		xmb	Mesh Boots	armor	exceptional	boot		30	43	13	56	25	mbt	xmb	umb
set	423	Hammerhead's Persistence	Terror of the Deep	1		xvb	Sharkskin Boots	armor	exceptional	boot		30	39	9	44	25	vbt	xvb	uvb
set	198	The River Stix	Hades' Underworld	1		xlb	Demonhide Boots	armor	exceptional	boot		30	36	6	32	24	lbt	xlb	ulb
set	208	Elven Grace	Mishy's Avatar	1		xvb	Sharkskin Boots	armor	exceptional	boot		35	39	4	32	25	vbt	xvb	uvb
set	100	Rite of Passage	The Disciple	1		xlb	Demonhide Boots	armor	exceptional	boot		39	36	-3	29	24	lbt	xlb	ulb
set	407	Dark Cataclysm	Stormsigil Vestments	1		ci2	Tiara	armor	exceptional	circ		40	70	30	52	52	ci1	ci2	ci3
set	249	Spin's Enigma	The Mysterious Spin	1		ci2	Tiara	armor	exceptional	circ		50	70	20	52	52	ci1	ci2	ci3
set	95	M'avina's Icy Clutch	M'avina's Battle Hymn	1		xtg	Battle Gauntlets	armor	exceptional	glov		21	49	28	32	25	tgl	xtg	utg
set	377	Waterwyrd's Talon	Kaldorn's Majesty	1		xhg	War Gauntlets	armor	exceptional	glov		30	54	24	55	25	hgl	xhg	uhg
set	394	Gauntlets of Quietus	Tika's Request	1		xtg	Battle Gauntlets	armor	exceptional	glov		30	49	19	48	25	tgl	xtg	utg
set	190	Power of Brother Laz	Insight of Brother Laz	1		xtg	Battle Gauntlets	armor	exceptional	glov		30	49	19	33	25	tgl	xtg	utg
set	76	Immortal King's Forge	Immortal King	1		xhg	War Gauntlets	armor	exceptional	glov		37	54	17	30	25	hgl	xhg	uhg
set	408	Stormtwist Grasp	Stormsigil Vestments	1		xvg	Sharkskin Gloves	armor	exceptional	glov		25	39	14	30	25	vgl	xvg	uvg
set	398	Prince Gwar's Bracers	Corthala Family Heirlooms	1		xmg	Heavy Bracers	armor	exceptional	glov		30	43	13	44	25	mgl	xmg	umg
set	91	Trang-Oul's Claws	Trang-Oul's Avatar	1		xmg	Heavy Bracers	armor	exceptional	glov		32	43	11	45	25	mgl	xmg	umg
set	305	Gloves of Knowledge	Yohann's Savant	1		xmg	Heavy Bracers	armor	exceptional	glov		35	43	8	38	25	mgl	xmg	umg
set	212	Maiden's Kiss	Mishy's Avatar	1		xmg	Heavy Bracers	armor	exceptional	glov		35	43	8	33	25	mgl	xmg	umg
set	109	Magnus' Skin	Orphan's Call	1		xvg	Sharkskin Gloves	armor	exceptional	glov		41	39	-2	37	25	vgl	xvg	uvg
set	219	Night's Caress	JBouley's Scion	1		xlg	Demonhide Gloves	armor	exceptional	glov		35	33	-2	32	21	lgl	xlg	ulg
set	140	Horazon's Hold	Horazon's Splendor	1		xlg	Demonhide Gloves	armor	exceptional	glov		40	33	-7	48	21	lgl	xlg	ulg
set	456	Grasp of Lament	Deus et Diabolus	1		xlg	Demonhide Gloves	armor	exceptional	glov		70	33	-37	76	21	lgl	xlg	ulg
set	90	Trang-Oul's Wing	Trang-Oul's Avatar	1		ne9	Cantor Trophy	armor	exceptional	head		32	49	17	54	36	ne4	ne9	nee
set	196	Dracolich	Hades' Underworld	1		ne8	Sexton Trophy	armor	exceptional	head		30	45	15	36	33	ne3	ne8	ned
set	111	Hwanin's Splendor	Hwanin's Majesty	1		xrn	Grand Crown	armor	exceptional	helm		28	55	27	45	25	crn	xrn	urn
set	199	Lord Hades' Throne	Hades' Underworld	1		xrn	Grand Crown	armor	exceptional	helm		30	55	25	41	25	crn	xrn	urn
set	83	Tal Rasha's Horadric Crest	Tal Rasha's Wrappings	1		xsk	Death Mask	armor	exceptional	helm		26	48	22	66	25	msk	xsk	usk
set	238	Green Dragon Mask	Jerik's Dragon Armor	1		xhm	Winged Helm	armor	exceptional	helm		30	51	21	40	25	ghm	xhm	uhm
set	221	Fade to Black	JBouley's Scion	1		xkp	Sallet	armor	exceptional	helm		17	37	20	25	25	skp	xkp	ukp
set	228	Lich's Cranium	Volf's Undead Legion	1		xh9	Grim Helm	armor	exceptional	helm		30	50	20	39	25	bhm	xh9	uh9
set	324	Andariel's Mask	Marhawkman's Disguise	1		xsk	Death Mask	armor	exceptional	helm		30	48	18	36	25	msk	xsk	usk
set	231	Mask of Vashna	Legacy of Vashna	1		xsk	Death Mask	armor	exceptional	helm		30	48	18	37	25	msk	xsk	usk
set	364	Hannibal's Blurred Vision	Hannibal's Demise	1		xhl	Basinet	armor	exceptional	helm		30	45	15	38	25	fhl	xhl	uhl
set	120	Cow King's Horns	Cow King's Leathers	1		xap	War Hat	armor	exceptional	helm		20	34	14	25	22	cap	xap	uap
set	392	Draconian Mask	Tika's Request	1		xlm	Casque	armor	exceptional	helm		30	42	12	40	25	hlm	xlm	ulm
set	235	Salander's Visor	Salander's Tirade	1		xlm	Casque	armor	exceptional	helm		30	42	12	34	25	hlm	xlm	ulm
set	117	Sazabi's Mental Sheath	Sazabi's Grand Tribute	1		xhl	Basinet	armor	exceptional	helm		34	45	11	43	25	fhl	xhl	uhl
set	107	Guillaume's Face	Orphan's Call	1		xhm	Winged Helm	armor	exceptional	helm		41	51	10	34	25	ghm	xhm	uhm
set	65	Natalya's Totem	Natalya's Odium	1		xh9	Grim Helm	armor	exceptional	helm		40	50	10	59	25	bhm	xh9	uh9
set	307	Unholy Desires	Zhoulomcrist's Dread	1		xap	War Hat	armor	exceptional	helm		25	34	9	31	22	cap	xap	uap
set	415	Imperial Helm	Path of Bravery	1		xkp	Sallet	armor	exceptional	helm		30	37	7	40	25	skp	xkp	ukp
set	314	Bloody Visage Helm	The Warlord of Blood	1		xhm	Winged Helm	armor	exceptional	helm		45	51	6	47	25	ghm	xhm	uhm
set	216	Power of Ice	Joel's Sanctuary	1		xap	War Hat	armor	exceptional	helm		32	34	2	33	22	cap	xap	uap
set	69	Aldur's Stony Gaze	Aldur's Watchtower	1		dr8	Hunter's Guise	armor	exceptional	pelt		29	46	17	36	29	dr3	dr8	drd
set	205	Full Moon Frenzy	Red Havoc's Challenge	1		dr6	Alpha Helm	armor	exceptional	pelt		30	26	-4	33	26	dr1	dr6	drb
set	450	Panda's Pelt	Panda's Polar Adventure	1		dr6	Alpha Helm	armor	exceptional	pelt		30	26	-4	50	26	dr1	dr6	drb
set	200	Secret Society	Darque's Cabal	1		ba9	Savage Helmet	armor	exceptional	phlm		35	49	14	40	32	ba4	ba9	bae
set	406	Deflector of Light	Stormsigil Vestments	1		xts	Ancient Shield	armor	exceptional	shie		25	56	31	30	25	gts	xts	uts
set	203	Dawn's Blessing	Darque's Cabal	1		xts	Ancient Shield	armor	exceptional	shie		35	56	21	41	25	gts	xts	uts
set	413	Sunspear Deflector	Kai Lord's Valiance	1		xow	Pavice	armor	exceptional	shie		30	50	20	63	25	tow	xow	uow
set	402	Wall of Bravery	Knight's Gallantry	1		xow	Pavice	armor	exceptional	shie		30	50	20	51	25	tow	xow	uow
set	352	Phantasm of Horror	Haunted Asylum	1		xsh	Grim Shield	armor	exceptional	shie		30	48	18	47	25	bsh	xsh	ush
set	226	Spectral Knight's Unholy Shield	Volf's Undead Legion	1		xsh	Grim Shield	armor	exceptional	shie		30	48	18	38	25	bsh	xsh	ush
set	220	Mystic Blades	JBouley's Scion	1		xpk	Barbed Shield	armor	exceptional	shie		25	42	17	35	25	spk	xpk	upk
set	237	Black Dragon Hide Shield	Jerik's Dragon Armor	1		xit	Dragon Shield	armor	exceptional	shie		30	45	15	37	25	kit	xit	uit
set	347	King's Prescript	Gweibret's Rule	1		xit	Dragon Shield	armor	exceptional	shie		30	45	15	46	25	kit	xit	uit
set	335	Neprida's Kiss	Cedric's Jinx	1		xrg	Scutum	armor	exceptional	shie		30	42	12	43	25	lrg	xrg	urg
set	444	The Raven's Wing	The Raven's Nest	1		xpk	Barbed Shield	armor	exceptional	shie		35	42	7	45	25	spk	xpk	upk
set	217	Power of Lightning	Joel's Sanctuary	1		xuc	Defender	armor	exceptional	shie		32	34	2	33	22	buc	xuc	uuc
set	110	Whitstan's Guard	Orphan's Call	1		xml	Round Shield	armor	exceptional	shie		41	37	-4	29	25	sml	xml	uml
set	374	Firecam Gilded Plate	Kaldorn's Majesty	1		xar	Ornate Plate	armor	exceptional	tors		30	64	34	63	25	aar	xar	uar
set	371	Slave to Anarchy	Servitude or Rebellion	1		xul	Chaos Armor	armor	exceptional	tors		30	61	31	51	25	ful	xul	uul
set	89	Trang-Oul's Scales	Trang-Oul's Avatar	1		xul	Chaos Armor	armor	exceptional	tors		32	61	29	49	25	ful	xul	uul
set	366	Shroud of Anger	Wrath of Vengeance	1		xth	Embossed Armor	armor	exceptional	tors		30	58	28	50	25	gth	xth	uth
set	194	Brother Laz' Faith	Insight of Brother Laz	1		xld	Sharktooth Armor	armor	exceptional	tors		30	55	25	36	25	fld	xld	uld
set	362	Hannibal's Shattered Plate	Hannibal's Demise	1		xld	Sharktooth Armor	armor	exceptional	tors		30	55	25	48	25	fld	xld	uld
set	201	Fallen Angels	Darque's Cabal	1		xth	Embossed Armor	armor	exceptional	tors		35	58	23	43	25	gth	xth	uth
set	229	Skeleton Warrior's Corpse Plate	Volf's Undead Legion	1		xlt	Templar Plate	armor	exceptional	tors		30	52	22	42	25	plt	xlt	ult
set	358	Unholy Vows	Forbidden Lore	1		xlt	Templar Coat	armor	exceptional	tors		30	52	22	46	25	plt	xlt	ult
