id	side	affix_name	group	levelreq	bands_and_frequency	active_frequency_at_alvl90_min	active_frequency_at_alvl90_max	stats	transformcolor	itypes	etypes	eligible_item_type_count	eligible_item_types	eligible_pool_frequency_min	eligible_pool_frequency_max	chance_min_pct_per_affix_roll_alvl90	chance_avg_pct_per_affix_roll_alvl90	chance_max_pct_per_affix_roll_alvl90	approx_three_roll_max_pct	best_item_type_samples	source_lines
GA011	prefix	Greater Aureole Vigor	207	21	early L50-65 freq 1 line 1487; mid L66-80 freq 1 line 1488; late L81-+ freq 2 line 1489	2	2	aura param=115 4-4	dyel	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1487,1488,1489
GA012	prefix	Greater Berserker's	125	57	early L50-65 freq 1 line 1352; mid L66-80 freq 3 line 1353; late L81-+ freq 4 line 1354	4	4	bar 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1352,1353,1354
GA013	prefix	Greater Berserker's	125	36	early L50-65 freq 1 line 1409; mid L66-80 freq 3 line 1410; late L81-+ freq 4 line 1411	4	4	bar 3-3	cgrn	phlm		1	phlm	8258	8258	0.048438	0.048438	0.048438	0.145243	phlm	1409,1410,1411
GA014	prefix	Greater Berserker's	125	36	early L50-65 freq 1 line 1370; mid L66-80 freq 1 line 1371; late L81-+ freq 2 line 1372	2	2	bar 3-3	cgrn	tkni,axe,spea,club,swor,hamm,mace	jave	9	tkni,club,mace,aspe,swor,spea,hamm,taxe,axe	12412	12906	0.015497	0.015780	0.016113	0.048333	axe	1370,1371,1372
GA015	prefix	Greater Berserker's	125	64	early L50-65 freq 1 line 1385; mid L66-80 freq 1 line 1386; late L81-+ freq 2 line 1387	2	2	bar 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1385,1386,1387
GA016	prefix	Greater Chromatic	116	35	early L50-65 freq 2 line 1316; mid L66-80 freq 4 line 1317; late L81-+ freq 6 line 1318	6	6	res-all 40-40	lpur	amul,circ		2	circ,amul	4724	12894	0.046533	0.086772	0.127011	0.380549	amul	1316,1317,1318
GA017	prefix	Greater Chromatic	116	36	early L50-65 freq 3 line 1319; mid L66-80 freq 5 line 1320; late L81-+ freq 8 line 1321	8	8	res-all 40-40	lpur	shld		4	head,ashd,grim,shie	8686	9180	0.087146	0.090040	0.092102	0.276052	shie	1319,1320,1321
GA018	prefix	Greater Cunning	125	38	early L50-65 freq 1 line 1415; mid L66-80 freq 1 line 1416; late L81-+ freq 2 line 1417	2	2	skilltab param=18 4-4	lgld	h2h,amul,circ		4	circ,h2h,h2h2,amul	4724	12894	0.015511	0.022351	0.042337	0.126957	amul	1415,1416,1417
GA019	prefix	Greater Frost Wyrm's Damage	209	65	early L50-65 freq 1 line 1433; mid L66-80 freq 1 line 1434; late L81-+ freq 2 line 1435	2	2	extra-cold 16-16	dblu	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1433,1434,1435
GA020	prefix	Greater Frost Wyrm's Damage	209	47	early L50-65 freq 1 line 1421; mid L66-80 freq 1 line 1422; late L81-+ freq 2 line 1423	2	2	extra-cold 16-16	dblu	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1421,1422,1423
GA021	prefix	Greater Frost Wyrm's Pierce	209	65	early L50-65 freq 1 line 1457; mid L66-80 freq 1 line 1458; late L81-+ freq 2 line 1459	2	2	pierce-cold 16-16	cblu	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1457,1458,1459
GA022	prefix	Greater Frost Wyrm's Pierce	209	47	early L50-65 freq 1 line 1445; mid L66-80 freq 1 line 1446; late L81-+ freq 2 line 1447	2	2	pierce-cold 16-16	cblu	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1445,1446,1447
GA023	prefix	Greater Godly	101	64	early L50-65 freq 37 line 1304; mid L66-80 freq 73 line 1305; late L81-+ freq 110 line 1306	110	110	ga_godly_ac% 300-300; ga_godly_red-dmg% 30-30	dgld	armo,shld		12	circ,head,ashd,grim,tors,shie,glov,phlm,pelt,belt,helm,boot	7884	12894	0.853110	1.264223	1.395231	4.127564	boot	1304,1305,1306
GA024	prefix	Greater Godly	101	71	early L50-65 freq 1 line 1310; mid L66-80 freq 3 line 1311; late L81-+ freq 4 line 1312	4	4	ga_godly_ac% 300-300; ga_godly_red-dmg% 30-30		tors,shld		5	head,ashd,grim,tors,shie	8686	9180	0.043573	0.045191	0.046051	0.138090	shie	1310,1311,1312
GA025	prefix	Greater Grandmaster's	111	75	early L50-65 freq 1 line 1289; mid L66-80 freq 3 line 1290; late L81-+ freq 4 line 1291	4	4	att 350-350; dmg% 500-500	dgld	weap	orb,wand	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.029464	0.031717	0.032798	0.098361	bow,xbow	1289,1290,1291
GA026	prefix	Greater Grandmaster's	111	75	early L50-65 freq 1 line 1295; mid L66-80 freq 1 line 1296; late L81-+ freq 2 line 1297	2	2	crush 40-40; dmg% 500-500	dgld	weap	orb,wand	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.014732	0.015858	0.016399	0.049188	bow,xbow	1295,1296,1297
GA027	prefix	Greater Grandmaster's	111	75	early L50-65 freq 1 line 1292; mid L66-80 freq 1 line 1293; late L81-+ freq 2 line 1294	2	2	deadly 40-40; dmg% 500-500	dgld	weap	orb,wand	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.014732	0.015858	0.016399	0.049188	bow,xbow	1292,1293,1294
GA028	prefix	Greater Grandmaster's	111	75	early L50-65 freq 1 line 1298; mid L66-80 freq 1 line 1299; late L81-+ freq 2 line 1300	2	2	openwounds 100-100; dmg% 500-500	dgld	weap	orb,wand	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.014732	0.015858	0.016399	0.049188	bow,xbow	1298,1299,1300
GA029	prefix	Greater Gritty	105	55	early L50-65 freq 5 line 1313; mid L66-80 freq 9 line 1314; late L81-+ freq 14 line 1315	14	14	dmg/lvl param=21	whit	weap	orb,wand,orb	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.103123	0.111009	0.114792	0.343980	bow,xbow	1313,1314,1315
GA030	prefix	Greater Hierophant's	125	57	early L50-65 freq 1 line 1355; mid L66-80 freq 3 line 1356; late L81-+ freq 4 line 1357	4	4	dru 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1355,1356,1357
GA031	prefix	Greater Hierophant's	125	36	early L50-65 freq 1 line 1394; mid L66-80 freq 3 line 1395; late L81-+ freq 4 line 1396	4	4	dru 3-3	cgrn	club,pelt		2	club,pelt	8248	12776	0.031309	0.039903	0.048497	0.145419	pelt	1394,1395,1396
GA032	prefix	Greater Hierophant's	125	64	early L50-65 freq 1 line 1388; mid L66-80 freq 1 line 1389; late L81-+ freq 2 line 1390	2	2	dru 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1388,1389,1390
GA033	prefix	Greater Jeweler's	122	40	early L50-65 freq 1 line 1466; mid L66-80 freq 1 line 1467; late L81-+ freq 2 line 1468	2	2	sock param=4		weap,shld,helm,tors	thro	28	staf,circ,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,axe,pole,slam,abow,bow,xbow,head,ashd,grim,tors,shie,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.020641	0.053937	0.161725	wand	1466,1467,1468
GA034	prefix	Greater Manticore's Damage	209	65	early L50-65 freq 1 line 1439; mid L66-80 freq 1 line 1440; late L81-+ freq 2 line 1441	2	2	extra-pois 16-16	dgrn	wand,staf		2	staf,wand	3708	13576	0.014732	0.034335	0.053937	0.161725	wand	1439,1440,1441
GA035	prefix	Greater Manticore's Damage	209	47	early L50-65 freq 1 line 1427; mid L66-80 freq 1 line 1428; late L81-+ freq 2 line 1429	2	2	extra-pois 16-16	dgrn	wand,staf,helm		6	staf,circ,phlm,pelt,helm,wand	3708	13576	0.014732	0.026304	0.053937	0.161725	wand	1427,1428,1429
GA036	prefix	Greater Manticore's Pierce	209	65	early L50-65 freq 1 line 1463; mid L66-80 freq 1 line 1464; late L81-+ freq 2 line 1465	2	2	pierce-pois 16-16	dgrn	wand,staf		2	staf,wand	3708	13576	0.014732	0.034335	0.053937	0.161725	wand	1463,1464,1465
GA037	prefix	Greater Manticore's Pierce	209	47	early L50-65 freq 1 line 1451; mid L66-80 freq 1 line 1452; late L81-+ freq 2 line 1453	2	2	pierce-pois 16-16	dgrn	wand,staf,helm		6	staf,circ,phlm,pelt,helm,wand	3708	13576	0.014732	0.026304	0.053937	0.161725	wand	1451,1452,1453
GA038	prefix	Greater Necromancer's	125	57	early L50-65 freq 1 line 1346; mid L66-80 freq 3 line 1347; late L81-+ freq 4 line 1348	4	4	nec 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1346,1347,1348
GA039	prefix	Greater Necromancer's	125	64	early L50-65 freq 1 line 1379; mid L66-80 freq 1 line 1380; late L81-+ freq 2 line 1381	2	2	nec 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1379,1380,1381
GA040	prefix	Greater Necromancer's	125	36	early L50-65 freq 1 line 1403; mid L66-80 freq 3 line 1404; late L81-+ freq 4 line 1405	4	4	nec 3-3	cgrn	wand,knif,head		4	tkni,knif,head,wand	3708	12906	0.030993	0.053474	0.107875	0.323276	wand	1403,1404,1405
GA041	prefix	Greater Omniscient	125	68	early L50-65 freq 1 line 1328; mid L66-80 freq 1 line 1329; late L81-+ freq 2 line 1330	2	2	allskills 3-3		tors,amul		2	tors,amul	4724	8720	0.022936	0.032636	0.042337	0.126957	amul	1328,1329,1330
GA042	prefix	Greater Priest's	125	57	early L50-65 freq 1 line 1343; mid L66-80 freq 3 line 1344; late L81-+ freq 4 line 1345	4	4	pal 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1343,1344,1345
GA043	prefix	Greater Priest's	125	36	early L50-65 freq 1 line 1364; mid L66-80 freq 3 line 1365; late L81-+ freq 4 line 1366	4	4	pal 3-3	cgrn	scep,ashd		2	scep,ashd	8850	12796	0.031260	0.038229	0.045198	0.135532	ashd	1364,1365,1366
GA044	prefix	Greater Priest's	125	49	early L50-65 freq 1 line 1367; mid L66-80 freq 3 line 1368; late L81-+ freq 4 line 1369	4	4	pal 3-3	cgrn	swor,mace,hamm,shld		7	mace,swor,hamm,head,ashd,grim,shie	8686	12718	0.031451	0.039259	0.046051	0.138090	shie	1367,1368,1369
GA045	prefix	Greater Priest's	125	64	early L50-65 freq 1 line 1376; mid L66-80 freq 1 line 1377; late L81-+ freq 2 line 1378	2	2	pal 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1376,1377,1378
GA046	prefix	Greater Pyromaniac's Damage	209	65	early L50-65 freq 1 line 1430; mid L66-80 freq 1 line 1431; late L81-+ freq 2 line 1432	2	2	extra-fire 16-16	dred	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1430,1431,1432
GA047	prefix	Greater Pyromaniac's Damage	209	47	early L50-65 freq 1 line 1418; mid L66-80 freq 1 line 1419; late L81-+ freq 2 line 1420	2	2	extra-fire 16-16	dred	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1418,1419,1420
GA048	prefix	Greater Pyromaniac's Pierce	209	65	early L50-65 freq 1 line 1454; mid L66-80 freq 1 line 1455; late L81-+ freq 2 line 1456	2	2	pierce-fire 16-16	cred	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1454,1455,1456
GA049	prefix	Greater Pyromaniac's Pierce	209	47	early L50-65 freq 1 line 1442; mid L66-80 freq 1 line 1443; late L81-+ freq 2 line 1444	2	2	pierce-fire 16-16	cred	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1442,1443,1444
GA050	prefix	Greater Rose Branded	125	38	early L50-65 freq 1 line 1412; mid L66-80 freq 1 line 1413; late L81-+ freq 2 line 1414	2	2	skilltab param=9 4-4	lgld	scep,swor,mace,shld,ashd,amul,circ		9	circ,scep,mace,swor,head,ashd,grim,shie,amul	4724	12894	0.015511	0.021667	0.042337	0.126957	amul	1412,1413,1414
GA051	prefix	Greater Sage's	125	43	early L50-65 freq 1 line 1331; mid L66-80 freq 1 line 1332; late L81-+ freq 2 line 1333	2	2	allskills 3-3		amul,tors,shld		6	head,ashd,grim,tors,shie,amul	4724	9180	0.021786	0.025886	0.042337	0.126957	amul	1331,1332,1333
GA052	prefix	Greater Sage's	125	68	early L50-65 freq 1 line 1334; mid L66-80 freq 1 line 1335; late L81-+ freq 2 line 1336	2	2	allskills 3-3		ring		1	ring	2206	2206	0.090662	0.090662	0.090662	0.271739	ring	1334,1335,1336
GA053	prefix	Greater Scintillating	116	22	early L50-65 freq 1 line 1322; mid L66-80 freq 1 line 1323; late L81-+ freq 2 line 1324	2	2	res-all 25-25	lpur	jewl		2	cjwl,jewl	1602	1602	0.124844	0.124844	0.124844	0.374064	cjwl,jewl	1322,1323,1324
GA054	prefix	Greater Scintillating	116	50	early L50-65 freq 1 line 1325; mid L66-80 freq 3 line 1326; late L81-+ freq 4 line 1327	4	4	res-all 25-25	lpur	ring		1	ring	2206	2206	0.181324	0.181324	0.181324	0.542985	ring	1325,1326,1327
GA055	prefix	Greater Valkyrie's	125	57	early L50-65 freq 1 line 1340; mid L66-80 freq 3 line 1341; late L81-+ freq 4 line 1342	4	4	ama 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1340,1341,1342
GA056	prefix	Greater Valkyrie's	125	36	early L50-65 freq 1 line 1337; mid L66-80 freq 3 line 1338; late L81-+ freq 4 line 1339	4	4	ama 3-3	cgrn	miss,spea		5	aspe,spea,abow,bow,xbow	12196	12706	0.031481	0.032270	0.032798	0.098361	bow,xbow	1337,1338,1339
GA057	prefix	Greater Valkyrie's	125	64	early L50-65 freq 1 line 1373; mid L66-80 freq 1 line 1374; late L81-+ freq 2 line 1375	2	2	ama 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1373,1374,1375
GA058	prefix	Greater Visionary	111	15	early L50-65 freq 1 line 1469; mid L66-80 freq 1 line 1470; late L81-+ freq 2 line 1471	2	2	att%/lvl param=3	whit	helm,miss,glov		8	circ,abow,bow,xbow,glov,phlm,pelt,helm	7944	12894	0.015511	0.020212	0.025176	0.075510	helm	1469,1470,1471
GA059	prefix	Greater Witch-hunter's	125	57	early L50-65 freq 1 line 1358; mid L66-80 freq 3 line 1359; late L81-+ freq 4 line 1360	4	4	ass 3-3	cgrn	amul,circ		2	circ,amul	4724	12894	0.031022	0.057848	0.084674	0.253807	amul	1358,1359,1360
GA060	prefix	Greater Witch-hunter's	125	36	early L50-65 freq 1 line 1400; mid L66-80 freq 3 line 1401; late L81-+ freq 4 line 1402	4	4	ass 3-3	cgrn	h2h		2	h2h,h2h2	12676	12676	0.031556	0.031556	0.031556	0.094637	h2h,h2h2	1400,1401,1402
GA061	prefix	Greater Witch-hunter's	125	64	early L50-65 freq 1 line 1391; mid L66-80 freq 1 line 1392; late L81-+ freq 2 line 1393	2	2	ass 3-3	cgrn	tors		1	tors	8720	8720	0.022936	0.022936	0.022936	0.068792	tors	1391,1392,1393
GA062	prefix	Greater Wraithly Armor	101	64	early L50-65 freq 1 line 1307; mid L66-80 freq 3 line 1308; late L81-+ freq 4 line 1309	4	4	ac% 300-300; ethereal 1-1; rep-dur param=10	whit	armo		12	circ,head,ashd,grim,tors,shie,glov,phlm,pelt,belt,helm,boot	7884	12894	0.031022	0.045972	0.050736	0.152130	boot	1307,1308,1309
GA063	prefix	Greater Wraithly Weapon	111	68	early L50-65 freq 1 line 1301; mid L66-80 freq 3 line 1302; late L81-+ freq 4 line 1303	4	4	dmg% 500-500; ethereal 1-1; rep-dur param=10	whit	weap	orb,wand	21	staf,tkni,scep,club,mace,knif,aspe,swor,spea,h2h,h2h2,hamm,taxe,ajav,jave,axe,pole,slam,abow,bow,xbow	12196	13576	0.029464	0.031717	0.032798	0.098361	bow,xbow	1301,1302,1303
GA064	prefix	Greater Zeus's Damage	209	65	early L50-65 freq 1 line 1436; mid L66-80 freq 1 line 1437; late L81-+ freq 2 line 1438	2	2	extra-ltng 16-16	dyel	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1436,1437,1438
GA065	prefix	Greater Zeus's Damage	209	47	early L50-65 freq 1 line 1424; mid L66-80 freq 1 line 1425; late L81-+ freq 2 line 1426	2	2	extra-ltng 16-16	dyel	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1424,1425,1426
GA066	prefix	Greater Zeus's Pierce	209	65	early L50-65 freq 1 line 1460; mid L66-80 freq 1 line 1461; late L81-+ freq 2 line 1462	2	2	pierce-ltng 16-16	lyel	wand,orb,staf		3	staf,orb,wand	3708	13576	0.014732	0.040251	0.053937	0.161725	wand	1460,1461,1462
GA067	prefix	Greater Zeus's Pierce	209	47	early L50-65 freq 1 line 1448; mid L66-80 freq 1 line 1449; late L81-+ freq 2 line 1450	2	2	pierce-ltng 16-16	lyel	wand,orb,staf,helm		7	staf,circ,phlm,pelt,helm,orb,wand	3708	13576	0.014732	0.029987	0.053937	0.161725	wand	1448,1449,1450
GA068	suffix	of Greater Alacrity	7	30	early L50-65 freq 16 line 963; mid L66-80 freq 32 line 964; late L81-+ freq 48 line 965	48	48	swing2 26-26	dyel	glov		1	glov	10790	10790	0.444856	0.444856	0.444856	1.328641	glov	963,964,965
GA069	suffix	of Greater Alacrity	7	14	early L50-65 freq 24 line 954; mid L66-80 freq 48 line 955; late L81-+ freq 72 line 956	72	72	swing2 26-26		weap	wand,orb	21	scep,club,hamm,mace,tkni,h2h,h2h2,ajav,jave,taxe,knif,aspe,spea,pole,swor,axe,slam,abow,bow,xbow,staf	23682	29240	0.246238	0.265732	0.304028	0.909315	staf	954,955,956
GA070	suffix	of Greater Deflecting	8	7	early L50-65 freq 25 line 966; mid L66-80 freq 51 line 967; late L81-+ freq 76 line 968	76	76	block 40-40; block2 40-40		shld		4	head,ashd,grim,shie	17950	18940	0.401267	0.414166	0.423398	1.264825	grim,shie	966,967,968
GA071	suffix	of Greater Equilibrium	18	5	early L50-65 freq 16 line 984; mid L66-80 freq 32 line 985; late L81-+ freq 48 line 986	48	48	balance2 26-26		tors,belt,shld		6	head,ashd,grim,shie,tors,belt	10620	18940	0.253432	0.302872	0.451977	1.349813	belt	984,985,986
GA072	suffix	of Greater Evisceration	14	67	early L50-65 freq 29 line 975; mid L66-80 freq 59 line 976; late L81-+ freq 88 line 977	88	88	dmg-max 165-165	blac	weap	wand,staf,orb	20	scep,club,hamm,mace,tkni,h2h,h2h2,ajav,jave,taxe,knif,aspe,spea,pole,swor,axe,slam,abow,bow,xbow	23798	29240	0.300958	0.322444	0.369779	1.105240	bow,xbow	975,976,977
GA073	suffix	of Greater Evisceration	14	31	early L50-65 freq 48 line 978; mid L66-80 freq 96 line 979; late L81-+ freq 144 line 980	144	144	dmg-max 165-165	blac	weap	wand,orb	21	scep,club,hamm,mace,tkni,h2h,h2h2,ajav,jave,taxe,knif,aspe,spea,pole,swor,axe,slam,abow,bow,xbow,staf	23682	29240	0.492476	0.531465	0.608057	1.813101	staf	978,979,980
GA074	suffix	of Greater Fervor	7	26	early L50-65 freq 16 line 960; mid L66-80 freq 32 line 961; late L81-+ freq 48 line 962	48	48	swing1 20-20		jewl		2	cjwl,jewl	13088	13088	0.366748	0.366748	0.366748	1.096214	cjwl,jewl	960,961,962
GA075	suffix	of Greater Quickness	7	32	early L50-65 freq 20 line 957; mid L66-80 freq 40 line 958; late L81-+ freq 60 line 959	60	60	swing3 50-50	dyel	mele	wand,staf,orb	17	scep,club,hamm,mace,tkni,h2h,h2h2,ajav,jave,taxe,knif,aspe,spea,pole,swor,axe,slam	26968	29240	0.205198	0.214337	0.222486	0.665974	axe,slam	957,958,959
GA076	suffix	of Greater Speed	35	25	early L50-65 freq 16 line 990; mid L66-80 freq 32 line 991; late L81-+ freq 48 line 992	48	48	move3 15-15		boot,circ		2	circ,boot	9798	34316	0.139876	0.314886	0.489896	1.462500	boot	990,991,992
GA077	suffix	of Greater Transcendence Amp	206	68	early L50-65 freq 1 line 1005; mid L66-80 freq 1 line 1006; late L81-+ freq 1 line 1007	1	1	hit-skill param=Amplify Damage 13-13; pierce-dmg 20-20		misl		4	bowq,mboq,mxbq,xboq	1202	1202	0.083195	0.083195	0.083195	0.249376	bowq,mboq,mxbq,xboq	1005,1006,1007
GA078	suffix	of Greater Transcendence Damage	15	71	early L50-65 freq 8 line 981; mid L66-80 freq 16 line 982; late L81-+ freq 24 line 983	24	24	dmg-min 85-85	blac	weap	orb,wand	21	scep,club,hamm,mace,tkni,h2h,h2h2,ajav,jave,taxe,knif,aspe,spea,pole,swor,axe,slam,abow,bow,xbow,staf	23682	29240	0.082079	0.088577	0.101343	0.303720	staf	981,982,983
GA079	suffix	of Greater Transcendence Lower Resist	206	68	early L50-65 freq 1 line 1002; mid L66-80 freq 1 line 1003; late L81-+ freq 1 line 1004	1	1	hit-skill param=Lower Resist 13-13; pierce-elem 20-20		misl		4	bowq,mboq,mxbq,xboq	1202	1202	0.083195	0.083195	0.083195	0.249376	bowq,mboq,mxbq,xboq	1002,1003,1004
GA080	suffix	of Greater Traveling	35	48	early L50-65 freq 16 line 987; mid L66-80 freq 32 line 988; late L81-+ freq 48 line 989	48	48	move3 15-15; stamdrain 117-117		boot		1	boot	9798	9798	0.489896	0.489896	0.489896	1.462500	boot	987,988,989
GA081	suffix	of the Greater Apprentice	9	3	early L50-65 freq 24 line 969; mid L66-80 freq 48 line 970; late L81-+ freq 72 line 971	72	72	cast1 13-13		rod,ring,amul,orb,circ		7	circ,amul,scep,ring,staf,wand,orb	14882	34316	0.209815	0.312122	0.483806	1.444407	orb	969,970,971
GA082	suffix	of the Greater Elements	43	60	early L50-65 freq 8 line 993; mid L66-80 freq 16 line 994; late L81-+ freq 24 line 995	24	24	res-cold/lvl param=7; res-fire/lvl param=7; res-ltng/lvl param=7	dgld	circ,shld		5	circ,head,ashd,grim,shie	17950	34316	0.069938	0.118619	0.133705	0.400578	grim,shie	993,994,995
GA083	suffix	of the Greater Four Seasons2	67	64	early L50-65 freq 4 line 999; mid L66-80 freq 8 line 1000; late L81-+ freq 12 line 1001	12	12	res-all-max 8-8		armo,shld,ring,amul		14	circ,amul,ring,head,ashd,grim,shie,tors,glov,belt,boot,phlm,pelt,helm	4222	34316	0.034969	0.106778	0.284225	0.850255	helm	999,1000,1001
GA084	suffix	of the Greater Lich	60	71	early L50-65 freq 4 line 996; mid L66-80 freq 8 line 997; late L81-+ freq 12 line 998	12	12	manasteal 12-12; lifesteal 15-15		ring,amul		2	amul,ring	26826	32886	0.036490	0.040611	0.044733	0.134138	ring	996,997,998
GA085	suffix	of the Greater Magus	9	18	early L50-65 freq 20 line 972; mid L66-80 freq 40 line 973; late L81-+ freq 60 line 974	60	60	cast3 25-25		rod,orb,circ	scep	4	circ,staf,wand,orb	14882	34316	0.174846	0.302350	0.403172	1.204645	orb	972,973,974
