side	sample_item	alvl	baseline_line	name	group	mods	baseline_freq	current_matching_freq	baseline_pool_weight	current_non_greater_pool_weight	current_full_pool_weight	current_greater_pool_weight	baseline_per_roll	after_non_greater_only_per_roll	after_with_greater_per_roll	non_greater_delta_pct	with_greater_delta_pct
prefix	abow	20	79	Stout	111	ac 3-5; dmg% 10-20	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	80	Stout	111	ac 6-9; dmg% 21-30	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	81	Stout	111	ac 10-12; dmg% 31-40	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	82	Burly	111	ac 13-15; dmg% 41-50	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	99	Assamic	123	att-demon 25-50; dmg-demon 10-25	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	100	Arcadian	123	att-demon 51-100; dmg-demon 26-50	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	106	Consecrated	142	att-undead 25-75; dmg-undead 25-75	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	107	Pure	142	att-undead 76-175; dmg-undead 76-125	6	60	1046	12810	12810	0	0.0057361376673040155	0.00468384074941452	0.00468384074941452	-18.34504293520687	-18.34504293520687
prefix	abow	20	112	Bronze	110	att 10-20	16	160	1046	12810	12810	0	0.015296367112810707	0.01249024199843872	0.01249024199843872	-18.34504293520687	-18.34504293520687
prefix	abow	20	113	Iron	110	att 21-40	16	160	1046	12810	12810	0	0.015296367112810707	0.01249024199843872	0.01249024199843872	-18.34504293520687	-18.34504293520687
prefix	abow	20	114	Steel	110	att 41-60	14	140	1046	12810	12810	0	0.01338432122370937	0.01092896174863388	0.01092896174863388	-18.34504293520688	-18.34504293520688
prefix	abow	20	115	Silver	110	att 61-80	14	140	1046	12810	12810	0	0.01338432122370937	0.01092896174863388	0.01092896174863388	-18.34504293520688	-18.34504293520688
prefix	abow	20	116	Gold	110	att 81-100	12	120	1046	12810	12810	0	0.011472275334608031	0.00936768149882904	0.00936768149882904	-18.34504293520687	-18.34504293520687
prefix	abow	20	125	Robineye	111	att/lvl(4) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	126	Sparroweye	111	att/lvl(6) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	127	Falconeye	111	att/lvl(8) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	130	Precise1	200	att% 5-9	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	144	Knave's	105	dmg/lvl(2) -; att/lvl(8) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	145	Jack's	105	dmg/lvl(3) -; att/lvl(12) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	146	Jester's	105	dmg/lvl(4) -; att/lvl(16) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	149	Loud	105	dmg/lvl(4) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	150	Calling	105	dmg/lvl(6) -	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	239	Fletcher's	125	skilltab(0) 1-1	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	344	Septic	140	dmg-pois(50) 31-31	6	60	1046	12810	12810	0	0.0057361376673040155	0.00468384074941452	0.00468384074941452	-18.34504293520687	-18.34504293520687
prefix	abow	20	345	Envenomed	140	dmg-pois(75) 41-41	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	346	Corosive	140	dmg-pois(100) 205-205	2	20	1046	12810	12810	0	0.0019120458891013384	0.00156128024980484	0.00156128024980484	-18.34504293520687	-18.34504293520687
prefix	abow	20	349	Azure	117	res-cold 5-10	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	364	Tangerine	119	res-ltng 5-10	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	372	Beryl	120	res-pois 5-10	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	410	Victorious	121	mana-kill 2-5	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	420	Mechanist's	122	sock 1-2	6	60	1046	12810	12810	0	0.0057361376673040155	0.00468384074941452	0.00468384074941452	-18.34504293520687	-18.34504293520687
prefix	abow	20	437	Screaming	113	howl 32-32	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	438	Howling	113	howl 64-64	8	80	1046	12810	12810	0	0.0076481835564053535	0.00624512099921936	0.00624512099921936	-18.34504293520687	-18.34504293520687
prefix	abow	20	450	Loremaster's1	204	addxp 1-1	10	100	1046	12810	12810	0	0.009560229445506692	0.0078064012490242	0.0078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	461	Bronze-Wrought	206	dmg% 10-15; dur 5-5	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	462	Iron-Wrought	206	dmg% 16-25; dur 6-10	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	469	Bronze-Wrought	206	ac% 3-5; dur 5-5	4	40	1046	12810	12810	0	0.0038240917782026767	0.00312256049960968	0.00312256049960968	-18.34504293520687	-18.34504293520687
prefix	abow	20	517	Charged1	44	charged(6) 300-10	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	519	Charged1	44	charged(7) 300-11	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	524	Charged1	44	charged(11) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	525	Charged1	44	charged(11) 300-9	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	526	Charged1	44	charged(12) 300-5	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	532	Charged1	44	charged(16) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	534	Charged1	44	charged(17) 35-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	540	Charged1	44	charged(21) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	542	Charged1	44	charged(22) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	559	Charged1	44	charged(36) 300-10	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	561	Charged1	44	charged(38) 300-11	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	563	Charged1	44	charged(39) 300-9	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	566	Charged1	44	charged(42) 50-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	568	Charged1	44	charged(43) 50-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	570	Charged1	44	charged(44) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	571	Charged1	44	charged(44) 300-10	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	572	Charged1	44	charged(45) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	573	Charged1	44	charged(45) 300-9	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	576	Charged1	44	charged(47) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	578	Charged1	44	charged(48) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	580	Charged1	44	charged(49) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	582	Charged1	44	charged(50) 45-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	584	Charged1	44	charged(51) 100-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	586	Charged1	44	charged(52) 15-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	588	Charged1	44	charged(53) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	590	Charged1	44	charged(54) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	592	Charged1	44	charged(55) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	609	Charged1	44	charged(66) 75-15	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	611	Charged1	44	charged(67) 300-10	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	616	Charged1	44	charged(71) 25-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	617	Charged1	44	charged(71) 25-12	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	618	Charged1	44	charged(72) 25-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	622	Charged1	44	charged(74) 150-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	624	Charged1	44	charged(75) 20-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	625	Charged1	44	charged(75) 20-12	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	626	Charged1	44	charged(76) 75-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	628	Charged1	44	charged(77) 65-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	630	Charged1	44	charged(78) 35-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	632	Charged1	44	charged(80) 50-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	634	Charged1	44	charged(81) 35-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	636	Charged1	44	charged(82) 35-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	638	Charged1	44	charged(83) 100-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	640	Charged1	44	charged(84) 300-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	20	642	Charged1	44	charged(85) 15-1	1	10	1046	12810	12810	0	0.0009560229445506692	0.00078064012490242	0.00078064012490242	-18.34504293520687	-18.34504293520687
prefix	abow	35	4	Vicious	111	dmg% 31-40	150	1500	1135	15460	15460	0	0.13215859030837004	0.09702457956015524	0.09702457956015524	-26.584734799482533	-26.584734799482533
prefix	abow	35	5	Brutal	111	dmg% 41-50	150	1500	1135	15460	15460	0	0.13215859030837004	0.09702457956015524	0.09702457956015524	-26.584734799482533	-26.584734799482533
prefix	abow	35	6	Massive	111	dmg% 51-65	150	1500	1135	15460	15460	0	0.13215859030837004	0.09702457956015524	0.09702457956015524	-26.584734799482533	-26.584734799482533
prefix	abow	35	7	Savage	111	dmg% 66-80	150	1500	1135	15460	15460	0	0.13215859030837004	0.09702457956015524	0.09702457956015524	-26.584734799482533	-26.584734799482533
prefix	abow	35	8	Heartless	111	dmg% 81-100	150	1500	1135	15460	15460	0	0.13215859030837004	0.09702457956015524	0.09702457956015524	-26.584734799482533	-26.584734799482533
prefix	abow	35	22	Paradox	111	dmg%/lvl(8) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	23	Paradox	111	dmg%/lvl(12) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	35	Mastersmith's	111	att 41-60; dmg% 31-40	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	36	Mastersmith's	111	deadly 3-6; dmg% 31-40	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	37	Mastersmith's	111	crush 3-6; dmg% 31-40	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	38	Mastersmith's	111	openwounds 11-16; dmg% 31-40	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	39	Warrior's	111	att 61-80; dmg% 41-50	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	40	Warrior's	111	deadly 4-8; dmg% 41-50	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	41	Warrior's	111	crush 4-8; dmg% 41-50	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	42	Warrior's	111	openwounds 17-21; dmg% 41-50	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	79	Stout	111	ac 3-5; dmg% 10-20	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	80	Stout	111	ac 6-9; dmg% 21-30	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	81	Stout	111	ac 10-12; dmg% 31-40	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	82	Burly	111	ac 13-15; dmg% 41-50	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	83	Burly	111	ac 16-22; dmg% 51-60	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	84	Burly	111	ac 23-30; dmg% 61-70	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	85	Stalwart	111	ac 33-40; dmg% 71-80	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	100	Arcadian	123	att-demon 51-100; dmg-demon 26-50	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	101	Unearthly	123	att-demon 101-150; dmg-demon 51-100	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	102	Astral	123	att-demon 151-200; dmg-demon 101-150	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	106	Consecrated	142	att-undead 25-75; dmg-undead 25-75	8	80	1135	15460	15460	0	0.007048458149779736	0.00517464424320828	0.00517464424320828	-26.584734799482533	-26.584734799482533
prefix	abow	35	107	Pure	142	att-undead 76-175; dmg-undead 76-125	6	60	1135	15460	15460	0	0.0052863436123348016	0.0038809831824062097	0.0038809831824062097	-26.584734799482533	-26.584734799482533
prefix	abow	35	108	Sacred	142	att-undead 175-250; dmg-undead 126-200	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	109	Hallowed	142	att-undead 251-325; dmg-undead 201-275	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	112	Bronze	110	att 10-20	16	160	1135	15460	15460	0	0.014096916299559472	0.01034928848641656	0.01034928848641656	-26.584734799482533	-26.584734799482533
prefix	abow	35	113	Iron	110	att 21-40	16	160	1135	15460	15460	0	0.014096916299559472	0.01034928848641656	0.01034928848641656	-26.584734799482533	-26.584734799482533
prefix	abow	35	114	Steel	110	att 41-60	14	140	1135	15460	15460	0	0.012334801762114538	0.009055627425614488	0.009055627425614488	-26.584734799482547	-26.584734799482547
prefix	abow	35	115	Silver	110	att 61-80	14	140	1135	15460	15460	0	0.012334801762114538	0.009055627425614488	0.009055627425614488	-26.584734799482547	-26.584734799482547
prefix	abow	35	116	Gold	110	att 81-100	12	120	1135	15460	15460	0	0.010572687224669603	0.007761966364812419	0.007761966364812419	-26.584734799482533	-26.584734799482533
prefix	abow	35	117	Platinum	110	att 101-125	12	120	1135	15460	15460	0	0.010572687224669603	0.007761966364812419	0.007761966364812419	-26.584734799482533	-26.584734799482533
prefix	abow	35	118	Meteoric	110	att 126-150	10	100	1135	15460	15460	0	0.00881057268722467	0.00646830530401035	0.00646830530401035	-26.584734799482533	-26.584734799482533
prefix	abow	35	125	Robineye	111	att/lvl(4) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	126	Sparroweye	111	att/lvl(6) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	127	Falconeye	111	att/lvl(8) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	128	Hawkeye	111	att/lvl(12) -	14	140	1135	15460	15460	0	0.012334801762114538	0.009055627425614488	0.009055627425614488	-26.584734799482547	-26.584734799482547
prefix	abow	35	130	Precise1	200	att% 5-9	8	80	1135	15460	15460	0	0.007048458149779736	0.00517464424320828	0.00517464424320828	-26.584734799482533	-26.584734799482533
prefix	abow	35	135	Visionary	111	att%/lvl(2) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	145	Jack's	105	dmg/lvl(3) -; att/lvl(12) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	146	Jester's	105	dmg/lvl(4) -; att/lvl(16) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	147	Joker's	105	dmg/lvl(6) -; att/lvl(20) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	149	Loud	105	dmg/lvl(4) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	150	Calling	105	dmg/lvl(6) -	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	197	Maiden's	125	ama 1-1	8	80	1135	15460	15460	0	0.007048458149779736	0.00517464424320828	0.00517464424320828	-26.584734799482533	-26.584734799482533
prefix	abow	35	239	Fletcher's	125	skilltab(0) 1-1	2	20	1135	15460	15460	0	0.001762114537444934	0.00129366106080207	0.00129366106080207	-26.584734799482533	-26.584734799482533
prefix	abow	35	331	Shivering	137	cold-len 50-50; cold-min 10-15; cold-max 31-45	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
prefix	abow	35	335	Smoldering	138	fire-min 26-50; fire-max 61-90	4	40	1135	15460	15460	0	0.003524229074889868	0.00258732212160414	0.00258732212160414	-26.584734799482533	-26.584734799482533
