Greater candidate	Side	Group	Sample item	Greater weight	Apex weight before	Apex weight after	Current pool weight	After pool weight	Greater per slot after	Apex per slot before	Apex per slot after	Greater if 3 same-side slots	Apex if 3 same-side slots after	Greater vs apex after	Ordinary affix absolute drift	Apex rows counted	Apex baseline	Draft greater payload
Greater Elemental Mastery	prefix	209	wand	8	8	80	367	3714	0.215%	2.180%	2.154%	0.604%	6.035%	10.0x rarer	-1.185%	Frost Wyrm's2; Manticore's2; Pyromaniac's2; Zeus's2	extra-fire/cold/lightning/poison caster rows in group 209	extra-* 14-16
Greater Elemental Pierce	prefix	209	wand	8	8	80	367	3714	0.215%	2.180%	2.154%	0.604%	6.035%	10.0x rarer	-1.185%	Frost Wyrm's2; Manticore's2; Pyromaniac's2; Zeus's2	pierce-fire/cold/lightning/poison caster rows in group 209	pierce-* 14-16
Greater Enlightenment	suffix	23	amul	36	36	360	3281	33162	0.109%	1.097%	1.086%	0.330%	3.304%	10.0x rarer	-1.061%	of Enlightenment	Energy rows in group 23	enr 36-40, scope split if needed
Greater Zodiac	suffix	42	amul	12	12	120	3281	33162	0.036%	0.366%	0.362%	0.111%	1.111%	10.0x rarer	-1.061%	of the Zodiac	Zodiac all-stats in group 42	all-stats 38-45
Greater jewelry elemental damage	suffix	10, 12, 13, 16	amul	84	84	840	3281	33162	0.253%	2.560%	2.533%	0.775%	7.613%	10.0x rarer	-1.061%	of Blight; of Burning; of Storms; of the Glacier	Glacier/Burning/Storms/Blight jewelry elemental rows in groups 10,12,13,16	about 25-35% above current apex, one element per row
Greater Blindness	suffix	65	axe	12	12	120	2715	27456	0.044%	0.442%	0.437%	0.151%	1.507%	10.0x rarer	-1.115%	of Blindness1	Blindness hit blinds target in group 65	stupidity 4
Greater Draining	suffix	80	axe	2	2	20	2715	27456	0.007%	0.074%	0.073%	0.025%	0.253%	10.0x rarer	-1.115%	of Siphoning	Siphoning heal per hit in group 80	healperhit 14-16
Greater Evisceration	suffix	14	axe	88	88	880	2715	27456	0.321%	3.241%	3.205%	0.733%	7.334%	10.0x rarer	-1.115%	of Evisceration	Evisceration max damage in group 14	dmg-max 150-165
Greater Paralysis	suffix	64	axe	24	24	240	2715	27456	0.087%	0.884%	0.874%	0.294%	2.942%	10.0x rarer	-1.115%	Paralysis1	Paralysis slow target in group 64	slow 28-33
Greater Quickness	suffix	7	axe	60	60	600	2715	27456	0.219%	2.210%	2.185%	0.677%	6.770%	10.0x rarer	-1.115%	of Quickness	Quickness IAS in group 7	swing3 50
Greater Transcendence	suffix	15	axe	24	24	240	2715	27456	0.087%	0.884%	0.874%	0.298%	2.985%	10.0x rarer	-1.115%	of Transcendence	Transcendence min damage in group 15	dmg-min 75-85
Greater Wealth	suffix	21	belt	48	48	480	1056	10644	0.451%	4.545%	4.510%	1.482%	14.817%	10.0x rarer	-0.789%	of Wealth	Wealth gold find in group 21	gold% 100-120
Greater Perfection	suffix	17	boot	36	36	360	1029	10458	0.344%	3.499%	3.442%	1.074%	10.743%	10.0x rarer	-1.606%	of Perfection	Perfection dexterity in group 17	dex 36-40
Greater Regeneration	suffix	19	boot	48	48	480	1029	10458	0.459%	4.665%	4.590%	1.470%	14.695%	10.0x rarer	-1.606%	of Regeneration	Regeneration life regen in group 19	regen 6-8
Greater Reanimation	suffix	66	glov	12	12	120	1109	11186	0.107%	1.082%	1.073%	0.343%	3.433%	10.0x rarer	-0.858%	of Reanimation1	Reanimation in group 66	higher reanimate chance/level
Greater Prosperity	suffix	22	jewl	12	12	120	1304	13088	0.092%	0.920%	0.917%	0.290%	2.902%	10.0x rarer	-0.367%	of Prosperity	Prosperity magic find in group 22	mag% 26-30
Greater Balance	suffix	18	lcha	6	6	60	88	898	0.668%	6.818%	6.682%	2.891%	28.913%	10.0x rarer	-2.004%	of Balance	Balance FHR on large charms in group 18	balance3 13-15
Greater Inertia	suffix	35	lcha	6	6	60	88	898	0.668%	6.818%	6.682%	2.891%	28.913%	10.0x rarer	-2.004%	of Inertia	Inertia FRW large charm in group 35	move3 13-15
Greater Vita	suffix	26	lcha	6	6	60	88	898	0.668%	6.818%	6.682%	2.891%	28.913%	10.0x rarer	-2.004%	of Vita	Vita life on large charms in group 26	hp 80-95
Greater missile suffixes	suffix	200, 201, 202, 203, 204, 205, 206	misl	39	39	390	120	1239	3.148%	32.500%	31.477%	9.098%	67.590%	10.0x rarer	-3.148%	of Fortune; of Maiming; of Piercing; of Resistance; of Slaying; of Transcendence; of the Bat; of the Swift; of the Vampire	missile-only suffix groups 200-206	stronger quiver/missile weapon suffix rows
Greater Magus	suffix	9	orb	60	60	600	1528	15568	0.385%	3.927%	3.854%	1.171%	11.706%	10.0x rarer	-1.850%	of the Magus	Magus FCR in group 9	cast3 25
Greater Coalescence	suffix	3	ring	36	36	360	2675	27062	0.133%	1.346%	1.330%	0.381%	3.811%	10.0x rarer	-1.153%	of Chilling Coalescence1; of Fire Coalescence1; of Lightning Coalescence1	elemental absorb percent rows in group 3	abs-fire/ltng/cold% 28-35, one element per row
Greater Elephant	suffix	41	ring	24	24	240	2675	27062	0.089%	0.897%	0.887%	0.280%	2.797%	10.0x rarer	-1.153%	of the Elephant	Elephant hp/lvl and mana/lvl in group 41	stronger hp/lvl plus mana/lvl
Greater Guarding	suffix	61	ring	60	60	600	2675	27062	0.222%	2.243%	2.217%	0.655%	6.553%	10.0x rarer	-1.153%	of Guarding	Guarding flat defense on jewelry in group 61	ac 60-90
Greater Lamprey/Vampire	suffix	27, 28	ring	24	72	720	2675	27062	0.089%	2.692%	2.661%	0.275%	7.984%	30.0x rarer	-1.153%	of the Lamprey; of the Vampire	single leech rows in groups 27 and 28	lifesteal/manasteal above current top, scope split
Greater Lich	suffix	60	ring	12	12	120	2675	27062	0.044%	0.449%	0.443%	0.139%	1.393%	10.0x rarer	-1.153%	of the Lich	Lich dual leech in group 60	manasteal 10-12 plus lifesteal 13-15
Greater Titan	suffix	31	ring	36	36	360	2675	27062	0.133%	1.346%	1.330%	0.406%	4.058%	10.0x rarer	-1.153%	of the Titan	strength/dex/vit/enr rows in group 31	primary stat 26-30 or equivalent scope split
Greater Deflecting	suffix	8	shld	76	76	760	1779	18082	0.420%	4.272%	4.203%	1.242%	12.416%	10.0x rarer	-1.615%	of Deflecting	Deflecting block rows in group 8	block 35-40 plus block2 40
Greater Elements	suffix	43	shld	24	24	240	1779	18082	0.133%	1.349%	1.327%	0.404%	4.042%	10.0x rarer	-1.615%	of the Elements	Elements res/lvl row in group 43	stronger multi-res per level
Greater Four Seasons	suffix	67	shld	12	12	120	1779	18082	0.066%	0.675%	0.664%	0.201%	2.007%	10.0x rarer	-1.615%	of the Four Seasons2	Four Seasons max all resist in group 67	res-all-max 7-8
Greater Negation	suffix	2	shld	48	48	480	1779	18082	0.265%	2.698%	2.655%	0.741%	7.412%	10.0x rarer	-1.615%	of Negation	Negation res-mag 14-20 in group 2	res-mag 24-30
Greater Anima	suffix	1	tors	48	48	480	1499	15266	0.314%	3.202%	3.144%	0.972%	9.725%	10.0x rarer	-1.808%	of Anima	Anima flat damage reduction in group 1	red-dmg 18-24
Greater Thorns	suffix	6	tors	48	48	480	1499	15266	0.314%	3.202%	3.144%	0.888%	8.876%	10.0x rarer	-1.808%	of Thorns	Thorns flat/level retaliation in group 6	stronger thorns/lvl
