side	source_file	line	name	description	spawnable	rare	phase1_scope	group	frequency	level_before	level_after	level_delta	maxlevel_before	maxlevel_after	maxlevel_delta	levelreq_before	levelreq_after	levelreq_delta	mods	itypes	etypes
prefix	magicprefix.txt	50	Crusader's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	45	31	-14	70	49	-21	37	31	-6	openwounds 29-35; dmg% 66-80	weap	orb, wand
prefix	magicprefix.txt	51	Knight's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	52	36	-16	80	56	-24	45	38	-7	att 126-150; dmg% 81-100	weap	orb, wand
prefix	magicprefix.txt	52	Knight's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	52	36	-16	80	56	-24	45	38	-7	deadly 7-14; dmg% 81-100	weap	orb, wand
prefix	magicprefix.txt	53	Knight's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	52	36	-16	80	56	-24	45	38	-7	crush 7-14; dmg% 81-100	weap	orb, wand
prefix	magicprefix.txt	54	Knight's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	52	36	-16	80	56	-24	45	38	-7	openwounds 36-44; dmg% 81-100	weap	orb, wand
prefix	magicprefix.txt	55	Lord's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	58	41	-17				53	45	-8	att 151-175; dmg% 101-133	weap	orb, wand
prefix	magicprefix.txt	56	Lord's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	65	46	-19				60	51	-9	deadly 8-16; dmg% 101-133	weap	orb, wand
prefix	magicprefix.txt	57	Lord's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	65	46	-19				60	51	-9	crush 8-16; dmg% 101-133	weap	orb, wand
prefix	magicprefix.txt	58	Lord's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	65	46	-19				60	51	-9	openwounds 45-57; dmg% 101-133	weap	orb, wand
prefix	magicprefix.txt	59	Overlord's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	65	46	-19				59	50	-9	att 176-200; dmg% 134-166	weap	orb, wand
prefix	magicprefix.txt	60	Overlord's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	70	49	-21				65	55	-10	deadly 9-18; dmg% 134-166	weap	orb, wand
prefix	magicprefix.txt	61	Overlord's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	70	49	-21				65	55	-10	crush 9-18; dmg% 134-166	weap	orb, wand
prefix	magicprefix.txt	62	Overlord's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	70	49	-21				65	55	-10	openwounds 58-67; dmg% 134-166	weap	orb, wand
prefix	magicprefix.txt	63	King's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	70	49	-21				63	54	-9	att 210-225; dmg% 167-200	weap	orb, wand
prefix	magicprefix.txt	64	King's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	74	52	-22				69	59	-10	deadly 10-20; dmg% 167-200	weap	orb, wand
prefix	magicprefix.txt	65	King's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	74	52	-22				69	59	-10	crush 10-20; dmg% 167-200	weap	orb, wand
prefix	magicprefix.txt	66	King's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	74	52	-22				69	59	-10	openwounds 68-75; dmg% 167-200	weap	orb, wand
prefix	magicprefix.txt	67	Master's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	74	52	-22				70	60	-10	att 210-225; dmg% 201-250	weap	orb, wand
prefix	magicprefix.txt	68	Master's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	79	55	-24				77	65	-12	deadly 12-24; dmg% 201-250	weap	orb, wand
prefix	magicprefix.txt	69	Master's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	79	55	-24				77	65	-12	crush 12-24; dmg% 201-250	weap	orb, wand
prefix	magicprefix.txt	70	Master's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	79	55	-24				77	65	-12	openwounds 76-83; dmg% 201-250	weap	orb, wand
prefix	magicprefix.txt	71	Highmaster's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	79	55	-24				79	67	-12	att 251-275; dmg% 251-300	weap	orb, wand
prefix	magicprefix.txt	72	Highmaster's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	83	58	-25				82	70	-12	deadly 13-26; dmg% 251-300	weap	orb, wand
prefix	magicprefix.txt	73	Highmaster's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	83	58	-25				82	70	-12	crush 13-26; dmg% 251-300	weap	orb, wand
prefix	magicprefix.txt	74	Highmaster's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	83	58	-25				82	70	-12	openwounds 84-93; dmg% 251-300	weap	orb, wand
prefix	magicprefix.txt	75	Grandmaster's	+# to Attack Rating & +#% Enhanced Damage	1	1	yes	111	4	84	59	-25				88	75	-13	att 276-300; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	76	Grandmaster's	#% Deadly Strike & +#% Enhanced Damage	1	1	yes	111	2	86	60	-26				88	75	-13	deadly 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	77	Grandmaster's	#% Crushing Blow & +#% Enhanced Damage	1	1	yes	111	2	86	60	-26				88	75	-13	crush 15-30; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	78	Grandmaster's	#% Open Wounds & +#% Enhanced Damage	1	1	yes	111	2	86	60	-26				88	75	-13	openwounds 94-100; dmg% 301-350	weap	orb, wand
prefix	magicprefix.txt	79	Stout	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	1	1	0	40	28	-12	1	1	0	ac 3-5; dmg% 10-20	weap	
prefix	magicprefix.txt	80	Stout	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	7	5	-2	50	35	-15	5	4	-1	ac 6-9; dmg% 21-30	weap	
prefix	magicprefix.txt	81	Stout	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	12	8	-4	55	39	-16	9	8	-1	ac 10-12; dmg% 31-40	weap	
prefix	magicprefix.txt	82	Burly	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	17	12	-5	70	49	-21	12	10	-2	ac 13-15; dmg% 41-50	weap	
prefix	magicprefix.txt	83	Burly	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	22	15	-7	75	53	-22	16	14	-2	ac 16-22; dmg% 51-60	weap	
prefix	magicprefix.txt	84	Burly	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	27	19	-8	80	56	-24	20	17	-3	ac 23-30; dmg% 61-70	weap	
prefix	magicprefix.txt	85	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	32	22	-10				24	20	-4	ac 33-40; dmg% 71-80	weap	
prefix	magicprefix.txt	86	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	37	26	-11				34	29	-5	ac 44-50; dmg% 81-100	weap	
prefix	magicprefix.txt	87	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	4	42	29	-13				48	41	-7	ac 60-70; dmg% 101-125	weap	
prefix	magicprefix.txt	88	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	2	55	39	-16				59	50	-9	ac 70-85; dmg% 126-150	weap	
prefix	magicprefix.txt	89	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	2	69	48	-21				67	57	-10	ac 86-100; dmg% 151-175	weap	
prefix	magicprefix.txt	90	Stalwart	+# Defense & +#% Enhanced Damage	1	1	yes	111	2	80	56	-24				72	61	-11	ac 100-125; dmg% 176-200	weap	
prefix	magicprefix.txt	91	Loremaster's1	+#% to Experience Gained & +#% Enhanced Damage	1	1	yes	111	4	47	33	-14				35	30	-5	addxp 2-2; dmg% 76-100	weap	
prefix	magicprefix.txt	92	Sage's	+#% to Experience Gained & +#% Enhanced Damage	1	1	yes	111	4	63	44	-19				57	48	-9	addxp 2-2; dmg% 101-150	weap	
prefix	magicprefix.txt	93	Sage's	+#% to Experience Gained & +#% Enhanced Damage	1	1	yes	111	2	79	55	-24				63	54	-9	addxp 2-2; dmg% 151-225	weap	
prefix	magicprefix.txt	94	Master Sage's	+#% to Experience Gained & +#% Enhanced Damage	1	1	yes	111	2	88	62	-26				78	66	-12	addxp 3-3; dmg% 225-250	weap	
prefix	magicprefix.txt	95	Ghostly	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	1	1	yes	111	4	41	29	-12				37	31	-6	dmg% 101-125; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	96	Spectral1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	1	1	yes	111	4	61	43	-18				51	43	-8	dmg% 126-150; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	97	Phantom1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	1	1	yes	111	4	75	53	-22				67	57	-10	dmg% 151-175; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	98	Wraithly1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	1	1	yes	111	4	86	60	-26				80	68	-12	dmg% 176-200; ethereal 1-1; rep-dur(10) -	weap	orb, wand
prefix	magicprefix.txt	99	Assamic	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	4	3	2	-1	20	14	-6	1	1	0	att-demon 25-50; dmg-demon 10-25	weap, circ	wand, orb
prefix	magicprefix.txt	100	Arcadian	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	4	15	11	-4	40	28	-12	11	9	-2	att-demon 51-100; dmg-demon 26-50	weap, circ	wand, orb
prefix	magicprefix.txt	101	Unearthly	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	2	25	18	-7	65	46	-19	18	15	-3	att-demon 101-150; dmg-demon 51-100	weap	wand, orb
prefix	magicprefix.txt	102	Astral	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	2	35	25	-10				26	22	-4	att-demon 151-200; dmg-demon 101-150	weap	wand, orb
prefix	magicprefix.txt	103	Elysian	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	2	45	31	-14				33	28	-5	att-demon 201-300; dmg-demon 151-200	weap	wand, orb
prefix	magicprefix.txt	104	Celestial	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	2	55	39	-16				41	35	-6	att-demon 301-400; dmg-demon 201-300	weap	wand, orb
prefix	magicprefix.txt	105	Diamond	+# to Attack Rating against Demons & +#% Damage to Demons	1	1	yes	123	2	26	18	-8				19	16	-3	att-demon 25-50; dmg-demon 25-40	jewl	
prefix	magicprefix.txt	106	Consecrated	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	8	1	1	0	35	25	-10	1	1	0	att-undead 25-75; dmg-undead 25-75	weap	wand, orb
prefix	magicprefix.txt	107	Pure	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	6	15	11	-4	60	42	-18	11	9	-2	att-undead 76-175; dmg-undead 76-125	weap	wand, orb
prefix	magicprefix.txt	108	Sacred	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	4	25	18	-7				18	15	-3	att-undead 175-250; dmg-undead 126-200	weap	wand, orb
prefix	magicprefix.txt	109	Hallowed	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	2	35	25	-10				27	23	-4	att-undead 251-325; dmg-undead 201-275	weap	wand, orb
prefix	magicprefix.txt	110	Divine	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	2	45	31	-14				37	31	-6	att-undead 326-450; dmg-undead 276-350	weap	wand, orb
prefix	magicprefix.txt	111	Pearl	+# to Attack Rating against Undead & +#% Damage to Undead	1	1	yes	142	2	18	13	-5				13	11	-2	att-undead 25-50; dmg-undead 25-50	jewl	
prefix	magicprefix.txt	112	Bronze	+# to Attack Rating	1	1	yes	110	16	1	1	0	35	25	-10	1	1	0	att 10-20	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	113	Iron	+# to Attack Rating	1	1	yes	110	16	7	5	-2	48	34	-14	5	4	-1	att 21-40	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	114	Steel	+# to Attack Rating	1	1	yes	110	14	12	8	-4	70	49	-21	9	8	-1	att 41-60	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	115	Silver	+# to Attack Rating	1	1	yes	110	14	14	10	-4	85	59	-26	12	10	-2	att 61-80	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	116	Gold	+# to Attack Rating	1	1	yes	110	12	19	13	-6				16	14	-2	att 81-100	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	117	Platinum	+# to Attack Rating	1	1	yes	110	12	25	18	-7				22	19	-3	att 101-125	weap, ring, circ	orb, wand
prefix	magicprefix.txt	118	Meteoric	+# to Attack Rating	1	1	yes	110	10	30	21	-9				27	23	-4	att 126-150	weap	orb, wand
prefix	magicprefix.txt	119	Strange	+# to Attack Rating	1	1	yes	110	10	37	26	-11				34	29	-5	att 151-300	weap	orb, wand
prefix	magicprefix.txt	120	Weird	+# to Attack Rating	1	1	yes	110	8	44	31	-13				40	34	-6	att 301-450	weap	orb, wand
prefix	magicprefix.txt	121	Nickel	+# to Attack Rating	1	1	yes	110	8	1	1	0	40	28	-12	1	1	0	att 10-20	jewl	
prefix	magicprefix.txt	122	Tin	+# to Attack Rating	1	1	yes	110	8	8	6	-2	70	49	-21	6	5	-1	att 21-40	jewl	
prefix	magicprefix.txt	123	Silver	+# to Attack Rating	1	1	yes	110	8	25	18	-7				18	15	-3	att 41-60	jewl	
prefix	magicprefix.txt	124	Argent	+# to Attack Rating	1	1	yes	110	8	44	31	-13				36	31	-5	att 61-100	jewl	
prefix	magicprefix.txt	125	Robineye	+# to Attack Rating (Based on Character Level)	1	1	yes	111	2	1	1	0	35	25	-10	1	1	0	att/lvl(4) -	weap	staf, wand, orb
prefix	magicprefix.txt	126	Sparroweye	+# to Attack Rating (Based on Character Level)	1	1	yes	111	2	10	7	-3	55	39	-16	7	6	-1	att/lvl(6) -	weap	staf, wand, orb
prefix	magicprefix.txt	127	Falconeye	+# to Attack Rating (Based on Character Level)	1	1	yes	111	2	20	14	-6				15	13	-2	att/lvl(8) -	weap	staf, wand, orb
prefix	magicprefix.txt	128	Hawkeye	+# to Attack Rating (Based on Character Level)	1	1	yes	111	14	35	25	-10				26	22	-4	att/lvl(12) -	weap	staf, wand, orb
prefix	magicprefix.txt	129	Eagleeye	+# to Attack Rating (Based on Character Level)	1	1	yes	111	2	50	35	-15				37	31	-6	att/lvl(16) -	weap	staf, wand, orb
prefix	magicprefix.txt	130	Precise1	#% Bonus to Attack Rating	1	1	yes	200	8	20	14	-6	40	28	-12	15	13	-2	att% 5-9	weap, glov	
prefix	magicprefix.txt	131	Precise1	#% Bonus to Attack Rating	1	1	yes	200	6	40	28	-12	70	49	-21	30	26	-4	att% 10-14	weap, glov	
prefix	magicprefix.txt	132	Fastidious1	#% Bonus to Attack Rating	1	1	yes	200	4	55	39	-16				45	38	-7	att% 15-19	weap, glov	
prefix	magicprefix.txt	133	Meticulous1	#% Bonus to Attack Rating	1	1	yes	200	4	70	49	-21				60	51	-9	att% 20-24	weap, glov	
prefix	magicprefix.txt	134	Veracious1	#% Bonus to Attack Rating	1	1	yes	200	2	85	59	-26				75	64	-11	att% 25-35	weap, glov	
prefix	magicprefix.txt	135	Visionary	#% Bonus to Attack Rating (Based on Character Level)	1	1	yes	111	2	25	18	-7				18	15	-3	att%/lvl(2) -	helm, miss, glov	
prefix	magicprefix.txt	136	Scarlet	+# to Minimum Damage	1	1	yes	103	8	8	6	-2	55	39	-16	6	5	-1	dmg-min 1-4	jewl	
prefix	magicprefix.txt	137	Crimson	+# to Minimum Damage	1	1	yes	103	8	38	27	-11				30	26	-4	dmg-min 5-8	jewl	
prefix	magicprefix.txt	138	Carbuncle	+# to Maximum Damage	1	1	yes	104	8	12	8	-4	48	34	-14	9	8	-1	dmg-max 1-5	jewl	
prefix	magicprefix.txt	139	Carmine	+# to Maximum Damage	1	1	yes	104	8	35	25	-10				27	23	-4	dmg-max 6-9	jewl	
prefix	magicprefix.txt	140	Vermillion	+# to Maximum Damage	1	1	yes	104	8	58	41	-17				50	43	-7	dmg-max 11-15	jewl	
prefix	magicprefix.txt	141	Red	+# to Minimum Damage & +# to Maximum Damage	1	1	yes	103	8	29	20	-9	58	41	-17	26	22	-4	dmg-min 1-3; dmg-max 5-8	jewl	
prefix	magicprefix.txt	142	Sanguinary	+# to Minimum Damage & +# to Maximum Damage	1	1	yes	103	8	59	41	-18				52	44	-8	dmg-min 4-5; dmg-max 8-12	jewl	
prefix	magicprefix.txt	143	Bloody	+# to Minimum Damage & +# to Maximum Damage	1	1	yes	103	8	86	60	-26				88	75	-13	dmg-min 6-8; dmg-max 13-15	jewl	
prefix	magicprefix.txt	144	Knave's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	1	1	yes	105	2	1	1	0	30	21	-9	1	1	0	dmg/lvl(2) -; att/lvl(8) -	weap	orb, wand, orb
prefix	magicprefix.txt	145	Jack's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	1	1	yes	105	2	10	7	-3	45	31	-14	7	6	-1	dmg/lvl(3) -; att/lvl(12) -	weap	orb, wand, orb
prefix	magicprefix.txt	146	Jester's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	1	1	yes	105	2	20	14	-6	65	46	-19	15	13	-2	dmg/lvl(4) -; att/lvl(16) -	weap	orb, wand, orb
prefix	magicprefix.txt	147	Joker's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	1	1	yes	105	2	35	25	-10				26	22	-4	dmg/lvl(6) -; att/lvl(20) -	weap	orb, wand, orb
prefix	magicprefix.txt	148	Trump	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	1	1	yes	105	14	50	35	-15				37	31	-6	dmg/lvl(8) -; att/lvl(24) -	weap	orb, wand, orb
prefix	magicprefix.txt	149	Loud	+# to Maximum Damage (Based on Character Level)	1	1	yes	105	2	5	4	-1	35	25	-10	3	3	0	dmg/lvl(4) -	weap	orb, wand, orb
prefix	magicprefix.txt	150	Calling	+# to Maximum Damage (Based on Character Level)	1	1	yes	105	2	20	14	-6	55	39	-16	15	13	-2	dmg/lvl(6) -	weap	orb, wand, orb
prefix	magicprefix.txt	151	Yelling	+# to Maximum Damage (Based on Character Level)	1	1	yes	105	2	40	28	-12				35	30	-5	dmg/lvl(8) -	weap	orb, wand, orb
prefix	magicprefix.txt	152	Shouting	+# to Maximum Damage (Based on Character Level)	1	1	yes	105	2	60	42	-18				55	47	-8	dmg/lvl(12) -	weap	orb, wand, orb
