side	source_file	source_line	candidate_id	candidate	operation	name	group	level_before	level_after	levelreq_before	levelreq_after	maxlevel_before	maxlevel_after	frequency_before	frequency_after	mods	itypes	etypes
prefix	magicprefix.txt	413	greater-vulpine	Greater Vulpine	convert_existing_to_early	Dun	107	7	5	5	4		6	6	3	dmg-to-mana 7-12	jewl	
prefix	magicprefix.txt	413	greater-vulpine	Greater Vulpine	add_late_duplicate	Dun	107	7	7	5	4			6	6	dmg-to-mana 7-12	jewl	
prefix	magicprefix.txt	120	greater-platinum	Greater Platinum	convert_existing_to_early	Weird	110	44	31	40	34		43	8	4	att 301-450	weap	orb, wand
prefix	magicprefix.txt	120	greater-platinum	Greater Platinum	add_late_duplicate	Weird	110	44	44	40	34			8	8	att 301-450	weap	orb, wand
prefix	magicprefix.txt	116	greater-platinum	Greater Platinum	convert_existing_to_early	Gold	110	19	13	16	14		18	12	6	att 81-100	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	116	greater-platinum	Greater Platinum	add_late_duplicate	Gold	110	19	19	16	14			12	12	att 81-100	weap, ring, circ, glov, amul	orb, wand
prefix	magicprefix.txt	117	greater-platinum	Greater Platinum	convert_existing_to_early	Platinum	110	25	18	22	19		24	12	6	att 101-125	weap, ring, circ	orb, wand
prefix	magicprefix.txt	117	greater-platinum	Greater Platinum	add_late_duplicate	Platinum	110	25	25	22	19			12	12	att 101-125	weap, ring, circ	orb, wand
prefix	magicprefix.txt	124	greater-platinum	Greater Platinum	convert_existing_to_early	Argent	110	44	31	36	31		43	8	4	att 61-100	jewl	
prefix	magicprefix.txt	124	greater-platinum	Greater Platinum	add_late_duplicate	Argent	110	44	44	36	31			8	8	att 61-100	jewl	
prefix	magicprefix.txt	920	greater-platinum	Greater Platinum	convert_existing_to_early	Steel	110	81	57	81	69		80	6	3	att 118-132	lcha	
prefix	magicprefix.txt	920	greater-platinum	Greater Platinum	add_late_duplicate	Steel	110	81	81	81	69			6	6	att 118-132	lcha	
prefix	magicprefix.txt	418	greater-lucky	Greater Lucky	convert_existing_to_early	Fortuitous	114	12	8	8	7		11	8	4	mag% 11-15	ring, amul, circ	
prefix	magicprefix.txt	418	greater-lucky	Greater Lucky	add_late_duplicate	Fortuitous	114	12	12	8	7			8	8	mag% 11-15	ring, amul, circ	
prefix	magicprefix.txt	419	greater-lucky	Greater Lucky	convert_existing_to_early	Emerald	114	16	11	12	10		15	8	4	mag% 3-7	jewl	
prefix	magicprefix.txt	419	greater-lucky	Greater Lucky	add_late_duplicate	Emerald	114	16	16	12	10			8	8	mag% 3-7	jewl	
prefix	magicprefix.txt	1025	greater-lucky	Greater Lucky	convert_existing_to_early	Lucky	114	55	39	50	43		54	6	3	mag% 20-25; gold% 40-50	lcha	
prefix	magicprefix.txt	1025	greater-lucky	Greater Lucky	add_late_duplicate	Lucky	114	55	55	50	43			6	6	mag% 20-25; gold% 40-50	lcha	
prefix	magicprefix.txt	398	greater-serpents	Greater Serpent's	convert_existing_to_early	Serpent's	115	37	26	27	23		36	4	2	mana 11-20	tors, boot, glov, weap, orb	rod
prefix	magicprefix.txt	398	greater-serpents	Greater Serpent's	add_late_duplicate	Serpent's	115	37	37	27	23			4	4	mana 11-20	tors, boot, glov, weap, orb	rod
prefix	magicprefix.txt	404	greater-serpents	Greater Serpent's	convert_existing_to_early	Bahamut's	115	45	31	37	31		44	4	2	mana 91-120	rod, ring, amul, orb, circ	
prefix	magicprefix.txt	404	greater-serpents	Greater Serpent's	add_late_duplicate	Bahamut's	115	45	45	37	31			4	4	mana 91-120	rod, ring, amul, orb, circ	
prefix	magicprefix.txt	397	greater-serpents	Greater Serpent's	convert_existing_to_early	Serpent's	115	14	10	10	9		13	6	3	mana 11-20	shld, rod, belt, ring, amul, circ	
prefix	magicprefix.txt	397	greater-serpents	Greater Serpent's	add_late_duplicate	Serpent's	115	14	14	10	9			6	6	mana 11-20	shld, rod, belt, ring, amul, circ	
prefix	magicprefix.txt	401	greater-serpents	Greater Serpent's	convert_existing_to_early	Dragon's	115	52	36	39	33		51	4	2	mana 31-40	tors, boot, glov	
prefix	magicprefix.txt	401	greater-serpents	Greater Serpent's	add_late_duplicate	Dragon's	115	52	52	39	33			4	4	mana 31-40	tors, boot, glov	
prefix	magicprefix.txt	407	greater-serpents	Greater Serpent's	convert_existing_to_early	Turquoise	115	29	20	21	18		28	4	2	mana 16-20	jewl	
prefix	magicprefix.txt	407	greater-serpents	Greater Serpent's	add_late_duplicate	Turquoise	115	29	29	21	18			4	4	mana 16-20	jewl	
prefix	magicprefix.txt	408	greater-serpents	Greater Serpent's	convert_existing_to_early	Mnemonic	115	25	18	18	15		24	2	1	mana/lvl(6) -	helm	
prefix	magicprefix.txt	408	greater-serpents	Greater Serpent's	add_late_duplicate	Mnemonic	115	25	25	18	15			2	2	mana/lvl(6) -	helm	
prefix	magicprefix.txt	1022	greater-serpents	Greater Serpent's	convert_existing_to_early	Serpent's	115	85	59	85	72		84	3	2	mana 53-59	lcha	
prefix	magicprefix.txt	1022	greater-serpents	Greater Serpent's	add_late_duplicate	Serpent's	115	85	85	85	72			3	3	mana 53-59	lcha	
prefix	magicprefix.txt	389	greater-shimmering	Greater Shimmering	convert_existing_to_early	Chromatic	116	55	39	41	35		54	6	3	res-all 21-30	amul, circ	
prefix	magicprefix.txt	389	greater-shimmering	Greater Shimmering	add_late_duplicate	Chromatic	116	55	55	41	35			6	6	res-all 21-30	amul, circ	
prefix	magicprefix.txt	384	greater-shimmering	Greater Shimmering	convert_existing_to_early	Chromatic	116	50	35	42	36		49	8	4	res-all 21-30	shld	
prefix	magicprefix.txt	384	greater-shimmering	Greater Shimmering	add_late_duplicate	Chromatic	116	50	50	42	36			8	8	res-all 21-30	shld	
prefix	magicprefix.txt	394	greater-shimmering	Greater Shimmering	convert_existing_to_early	Scintillating	116	34	24	26	22		33	2	1	res-all 11-15	jewl	
prefix	magicprefix.txt	394	greater-shimmering	Greater Shimmering	add_late_duplicate	Scintillating	116	34	34	26	22			2	2	res-all 11-15	jewl	
prefix	magicprefix.txt	1026	greater-shimmering	Greater Shimmering	convert_existing_to_early	Shimmering	116	81	57	81	69		80	3	2	res-all 10-12	lcha	
prefix	magicprefix.txt	1026	greater-shimmering	Greater Shimmering	add_late_duplicate	Shimmering	116	81	81	81	69			3	3	res-all 10-12	lcha	
prefix	magicprefix.txt	392	greater-shimmering	Greater Shimmering	convert_existing_to_early	Scintillating	116	67	47	59	50		66	4	2	res-all 13-17	ring	
prefix	magicprefix.txt	392	greater-shimmering	Greater Shimmering	add_late_duplicate	Scintillating	116	67	67	59	50			4	4	res-all 13-17	ring	
prefix	magicprefix.txt	353	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Cobalt	117	55	39	41	35		54	4	2	res-cold 21-30	weap	orb
prefix	magicprefix.txt	353	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Cobalt	117	55	55	41	35			4	4	res-cold 21-30	weap	orb
prefix	magicprefix.txt	360	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Garnet	118	55	39	41	35		54	2	1	res-fire 21-30	weap	orb
prefix	magicprefix.txt	360	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Garnet	118	55	55	41	35			2	2	res-fire 21-30	weap	orb
prefix	magicprefix.txt	368	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Coral	119	55	39	41	35		54	2	1	res-ltng 21-30	weap	orb
prefix	magicprefix.txt	368	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Coral	119	55	55	41	35			2	2	res-ltng 21-30	weap	orb
prefix	magicprefix.txt	376	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Jade	120	55	39	41	35		54	2	1	res-pois 21-30	weap	orb
prefix	magicprefix.txt	376	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Jade	120	55	55	41	35			2	2	res-pois 21-30	weap	orb
prefix	magicprefix.txt	354	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Sapphire	117	25	18	18	15		24	6	3	res-cold 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	354	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Sapphire	117	25	25	18	15			6	6	res-cold 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	361	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Ruby	118	25	18	18	15		24	6	3	res-fire 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	361	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Ruby	118	25	25	18	15			6	6	res-fire 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	369	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Amber	119	25	18	18	15		24	6	3	res-ltng 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	369	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Amber	119	25	25	18	15			6	6	res-ltng 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	377	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Emerald	120	25	18	18	15		24	6	3	res-pois 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	377	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Emerald	120	25	25	18	15			6	6	res-pois 31-40	rod, boot, amul, orb, circ	
prefix	magicprefix.txt	352	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Cobalt	117	18	13	13	11		17	6	3	res-cold 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	352	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Cobalt	117	18	18	13	11			6	6	res-cold 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	359	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Garnet	118	18	13	13	11		17	6	3	res-fire 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	359	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Garnet	118	18	18	13	11			6	6	res-fire 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	367	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Coral	119	18	13	13	11		17	6	3	res-ltng 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	367	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Coral	119	18	18	13	11			6	6	res-ltng 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	375	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Jade	120	18	13	13	11		17	6	3	res-pois 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	375	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Jade	120	18	18	13	11			6	6	res-pois 21-30	armo, ring, amul, orb, circ	
prefix	magicprefix.txt	356	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Sapphire	117	19	13	14	12		18	8	4	res-cold 16-30	jewl	
prefix	magicprefix.txt	356	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Sapphire	117	19	19	14	12			8	8	res-cold 16-30	jewl	
prefix	magicprefix.txt	371	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Ambergris	117	19	13	14	12		18	8	4	res-ltng 16-30	jewl	
prefix	magicprefix.txt	371	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Ambergris	117	19	19	14	12			8	8	res-ltng 16-30	jewl	
prefix	magicprefix.txt	379	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Jade	117	19	13	14	12		18	8	4	res-pois 16-30	jewl	
prefix	magicprefix.txt	379	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Jade	117	19	19	14	12			8	8	res-pois 16-30	jewl	
prefix	magicprefix.txt	998	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Sapphire	117	60	42	55	47		59	6	3	res-cold 26-30	lcha	
prefix	magicprefix.txt	998	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Sapphire	117	60	60	55	47			6	6	res-cold 26-30	lcha	
prefix	magicprefix.txt	1002	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Ruby	118	60	42	55	47		59	6	3	res-fire 26-30	lcha	
prefix	magicprefix.txt	1002	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Ruby	118	60	60	55	47			6	6	res-fire 26-30	lcha	
prefix	magicprefix.txt	1006	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Amber	119	60	42	55	47		59	6	3	res-ltng 26-30	lcha	
prefix	magicprefix.txt	1006	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Amber	119	60	60	55	47			6	6	res-ltng 26-30	lcha	
prefix	magicprefix.txt	1010	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	convert_existing_to_early	Emerald	120	60	42	55	47		59	6	3	res-pois 26-30	lcha	
prefix	magicprefix.txt	1010	greater-single-resist-charm	Greater Ruby/Sapphire/Amber/Emerald	add_late_duplicate	Emerald	120	60	60	55	47			6	6	res-pois 26-30	lcha	
prefix	magicprefix.txt	410	greater-aureolin	Greater Aureolin	convert_existing_to_early	Victorious	121	17	12	12	10		16	8	4	mana-kill 2-5	weap	
prefix	magicprefix.txt	410	greater-aureolin	Greater Aureolin	add_late_duplicate	Victorious	121	17	17	12	10			8	8	mana-kill 2-5	weap	
prefix	magicprefix.txt	411	greater-aureolin	Greater Aureolin	convert_existing_to_early	Aureolin	121	22	15	16	14		21	8	4	mana-kill 1-3	jewl	
prefix	magicprefix.txt	411	greater-aureolin	Greater Aureolin	add_late_duplicate	Aureolin	121	22	22	16	14			8	8	mana-kill 1-3	jewl	
prefix	magicprefix.txt	104	greater-celestial	Greater Celestial	convert_existing_to_early	Celestial	123	55	39	41	35		54	2	1	att-demon 301-400; dmg-demon 201-300	weap	wand, orb
prefix	magicprefix.txt	104	greater-celestial	Greater Celestial	add_late_duplicate	Celestial	123	55	55	41	35			2	2	att-demon 301-400; dmg-demon 201-300	weap	wand, orb
prefix	magicprefix.txt	105	greater-celestial	Greater Celestial	convert_existing_to_early	Diamond	123	26	18	19	16		25	2	1	att-demon 25-50; dmg-demon 25-40	jewl	
prefix	magicprefix.txt	105	greater-celestial	Greater Celestial	add_late_duplicate	Diamond	123	26	26	19	16			2	2	att-demon 25-50; dmg-demon 25-40	jewl	
prefix	magicprefix.txt	192	greater-omniscient	Greater Omniscient	convert_existing_to_early	Omniscient	125	86	60	80	68		85	2	1	allskills 2-2	tors, amul	
prefix	magicprefix.txt	192	greater-omniscient	Greater Omniscient	add_late_duplicate	Omniscient	125	86	86	80	68			2	2	allskills 2-2	tors, amul	
prefix	magicprefix.txt	190	greater-omniscient	Greater Omniscient	convert_existing_to_early	Sage's	125	59	41	50	43		58	2	1	allskills 1-1	amul, tors, shld	
prefix	magicprefix.txt	190	greater-omniscient	Greater Omniscient	add_late_duplicate	Sage's	125	59	59	50	43			2	2	allskills 1-1	amul, tors, shld	
prefix	magicprefix.txt	191	greater-omniscient	Greater Omniscient	convert_existing_to_early	Sage's	125	85	59	80	68		84	2	1	allskills 1-1	ring	
prefix	magicprefix.txt	191	greater-omniscient	Greater Omniscient	add_late_duplicate	Sage's	125	85	85	80	68			2	2	allskills 1-1	ring	
prefix	magicprefix.txt	198	greater-class-skill	Greater class skill	convert_existing_to_early	Valkyrie's	125	50	35	42	36		49	4	2	ama 2-2	miss, spea	
prefix	magicprefix.txt	198	greater-class-skill	Greater class skill	add_late_duplicate	Valkyrie's	125	50	50	42	36			4	4	ama 2-2	miss, spea	
prefix	magicprefix.txt	196	greater-class-skill	Greater class skill	convert_existing_to_early	Valkyrie's	125	86	60	67	57		85	4	2	ama 2-2	amul, circ	
prefix	magicprefix.txt	196	greater-class-skill	Greater class skill	add_late_duplicate	Valkyrie's	125	86	86	67	57			4	4	ama 2-2	amul, circ	
prefix	magicprefix.txt	202	greater-class-skill	Greater class skill	convert_existing_to_early	Priest's	125	86	60	67	57		85	4	2	pal 2-2	amul, circ	
prefix	magicprefix.txt	202	greater-class-skill	Greater class skill	add_late_duplicate	Priest's	125	86	86	67	57			4	4	pal 2-2	amul, circ	
prefix	magicprefix.txt	210	greater-class-skill	Greater class skill	convert_existing_to_early	Necromancer's	125	86	60	67	57		85	4	2	nec 2-2	amul, circ	
prefix	magicprefix.txt	210	greater-class-skill	Greater class skill	add_late_duplicate	Necromancer's	125	86	86	67	57			4	4	nec 2-2	amul, circ	
prefix	magicprefix.txt	216	greater-class-skill	Greater class skill	convert_existing_to_early	Arch-Angel's	125	86	60	67	57		85	4	2	sor 2-2	amul, circ	
prefix	magicprefix.txt	216	greater-class-skill	Greater class skill	add_late_duplicate	Arch-Angel's	125	86	86	67	57			4	4	sor 2-2	amul, circ	
prefix	magicprefix.txt	222	greater-class-skill	Greater class skill	convert_existing_to_early	Berserker's	125	86	60	67	57		85	4	2	bar 2-2	amul, circ	
prefix	magicprefix.txt	222	greater-class-skill	Greater class skill	add_late_duplicate	Berserker's	125	86	86	67	57			4	4	bar 2-2	amul, circ	
prefix	magicprefix.txt	230	greater-class-skill	Greater class skill	convert_existing_to_early	Hierophant's	125	86	60	67	57		85	4	2	dru 2-2	amul, circ	
prefix	magicprefix.txt	230	greater-class-skill	Greater class skill	add_late_duplicate	Hierophant's	125	86	86	67	57			4	4	dru 2-2	amul, circ	
prefix	magicprefix.txt	236	greater-class-skill	Greater class skill	convert_existing_to_early	Witch-hunter's	125	86	60	67	57		85	4	2	ass 2-2	amul, circ	
prefix	magicprefix.txt	236	greater-class-skill	Greater class skill	add_late_duplicate	Witch-hunter's	125	86	86	67	57			4	4	ass 2-2	amul, circ	
prefix	magicprefix.txt	1070	greater-class-skill	Greater class skill	convert_existing_to_early	Arch-Devil's	125	90	63	67	57		89	2	1	war 2-2	amul, circ	
prefix	magicprefix.txt	1070	greater-class-skill	Greater class skill	add_late_duplicate	Arch-Devil's	125	90	90	67	57			2	2	war 2-2	amul, circ	
prefix	magicprefix.txt	204	greater-class-skill	Greater class skill	convert_existing_to_early	Priest's	125	50	35	42	36		49	4	2	pal 2-2	scep, ashd	
prefix	magicprefix.txt	204	greater-class-skill	Greater class skill	add_late_duplicate	Priest's	125	50	50	42	36			4	4	pal 2-2	scep, ashd	
prefix	magicprefix.txt	206	greater-class-skill	Greater class skill	convert_existing_to_early	Priest's	125	65	46	58	49		64	4	2	pal 2-2	swor, mace, hamm, shld	
prefix	magicprefix.txt	206	greater-class-skill	Greater class skill	add_late_duplicate	Priest's	125	65	65	58	49			4	4	pal 2-2	swor, mace, hamm, shld	
prefix	magicprefix.txt	224	greater-class-skill	Greater class skill	convert_existing_to_early	Berserker's	125	50	35	42	36		49	2	1	bar 2-2	tkni, axe, spea, club, swor, hamm, mace	jave
prefix	magicprefix.txt	224	greater-class-skill	Greater class skill	add_late_duplicate	Berserker's	125	50	50	42	36			2	2	bar 2-2	tkni, axe, spea, club, swor, hamm, mace	jave
prefix	magicprefix.txt	195	greater-class-skill	Greater class skill	convert_existing_to_early	Valkyrie's	125	86	60	75	64		85	2	1	ama 2-2	tors	
prefix	magicprefix.txt	195	greater-class-skill	Greater class skill	add_late_duplicate	Valkyrie's	125	86	86	75	64			2	2	ama 2-2	tors	
prefix	magicprefix.txt	201	greater-class-skill	Greater class skill	convert_existing_to_early	Priest's	125	86	60	75	64		85	2	1	pal 2-2	tors	
prefix	magicprefix.txt	201	greater-class-skill	Greater class skill	add_late_duplicate	Priest's	125	86	86	75	64			2	2	pal 2-2	tors	
prefix	magicprefix.txt	209	greater-class-skill	Greater class skill	convert_existing_to_early	Necromancer's	125	86	60	75	64		85	2	1	nec 2-2	tors	
prefix	magicprefix.txt	209	greater-class-skill	Greater class skill	add_late_duplicate	Necromancer's	125	86	86	75	64			2	2	nec 2-2	tors	
prefix	magicprefix.txt	215	greater-class-skill	Greater class skill	convert_existing_to_early	Arch-Angel's	125	86	60	75	64		85	2	1	sor 2-2	tors	
prefix	magicprefix.txt	215	greater-class-skill	Greater class skill	add_late_duplicate	Arch-Angel's	125	86	86	75	64			2	2	sor 2-2	tors	
prefix	magicprefix.txt	221	greater-class-skill	Greater class skill	convert_existing_to_early	Berserker's	125	86	60	75	64		85	2	1	bar 2-2	tors	
prefix	magicprefix.txt	221	greater-class-skill	Greater class skill	add_late_duplicate	Berserker's	125	86	86	75	64			2	2	bar 2-2	tors	
prefix	magicprefix.txt	229	greater-class-skill	Greater class skill	convert_existing_to_early	Hierophant's	125	86	60	75	64		85	2	1	dru 2-2	tors	
prefix	magicprefix.txt	229	greater-class-skill	Greater class skill	add_late_duplicate	Hierophant's	125	86	86	75	64			2	2	dru 2-2	tors	
prefix	magicprefix.txt	235	greater-class-skill	Greater class skill	convert_existing_to_early	Witch-hunter's	125	86	60	75	64		85	2	1	ass 2-2	tors	
