name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	46		53				1	12	fire-min		4	10	fire-max		11	30					dred	glov	ring	amul										0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	56	79	63				1	12	fire-min		11	25	fire-max		31	50					dred	glov	ring	amul										0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		63				1	12	fire-min		11	25	fire-max		31	50					dred	glov	ring	amul										0	0
of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	11		9				1	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	25		24				1	12	fire-min		4	10	fire-max		11	30					dred	jewl												0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	40	56	42				1	12	fire-min		11	25	fire-max		31	50					dred	jewl												0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	57		42				1	12	fire-min		11	25	fire-max		31	50					dred	jewl												0	0
of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	3	35	3				1	13	ltng-min		1	1	ltng-max		6	8						weap							wand	orb				0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	11	50	9				1	13	ltng-min		1	1	ltng-max		9	16						weap							wand	orb				0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	18	70	15				1	13	ltng-min		1	1	ltng-max		17	40					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	24		22				1	13	ltng-min		1	6	ltng-max		41	120					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	35		42				1	13	ltng-min		1	12	ltng-max		250	300					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	53	74	58				1	13	ltng-min		1	20	ltng-max		300	350					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	75		58				1	13	ltng-min		1	20	ltng-max		300	350					dyel	weap							wand	orb				0	0
of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	35		31				1	13	ltng-min		1	1	ltng-max		11	23						boot	ring	amul										0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	46		48				1	13	ltng-min		1	1	ltng-max		24	50					dyel	boot	ring	amul										0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	53		60				1	13	ltng-min		1	1	ltng-max		51	75					dyel	boot	ring	amul										0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	60	85	68				1	13	ltng-min		1	1	ltng-max		76	100					dyel	boot	ring	amul										0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	86		68				1	13	ltng-min		1	1	ltng-max		76	100					dyel	boot	ring	amul										0	0
of Ennui	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	11		9				1	13	ltng-min		1	1	ltng-max		10	20					dyel	jewl												0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	25		24				1	13	ltng-min		1	1	ltng-max		21	60					dyel	jewl												0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	40	56	42				1	13	ltng-min		1	1	ltng-max		61	100					dyel	jewl												0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	57		42				1	13	ltng-min		1	1	ltng-max		61	100					dyel	jewl												0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	4	35	3				1	16	dmg-pois	75	24	24										weap	circ						rod	orb				0	0
of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	11	50	9				1	16	dmg-pois	100	54	54										weap	circ						rod	orb				0	0
of Pestilence	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	18	70	15				1	16	dmg-pois	125	103	103									dgrn	weap	circ						rod	orb				0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	23	32	21				1	16	dmg-pois	150	171	171									dgrn	weap	circ						rod	orb				0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	33		21				1	16	dmg-pois	150	171	171									dgrn	weap	circ						rod	orb				0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	31		28				1	16	dmg-pois	75	171	171										ring	amul											0	0
of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	46		47				1	16	dmg-pois	75	266	266										ring	amul											0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	59	84	61				1	16	dmg-pois	75	377	377										ring	amul											0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	85		61				1	16	dmg-pois	75	377	377										ring	amul											0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	1		1				1	16	dmg-pois	50	103	103									dgrn	jewl												0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	31		28				1	16	dmg-pois	50	206	206									dgrn	jewl												0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	54	76	56				1	16	dmg-pois	50	309	309									dgrn	jewl												0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	77		56				1	16	dmg-pois	50	309	309									dgrn	jewl												0	0
of Warmth	Half Freeze Duration	100	1	1	7		6				1	11	half-freeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Warmth	Cannot Be Frozen	100	1	1	54		59				1	11	nofreeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Defiance	Poison Length Reduced by #%	100	1	1	31		33				1	29	res-pois-len		75	90									dred	tors	shld	amul	circ									0	0
of Amelioration	Poison Length Reduced by #%	100	1	1	18		15				1	29	res-pois-len		50	74										tors	shld	amul	circ									0	0
of Remedy	Poison Length Reduced by #%	100	1	1	13	50	11				1	29	res-pois-len		25	49										armo	ring	amul	circ									0	0
of Remedy	Poison Length Reduced by #%	100	1	1	1	25	1				1	29	res-pois-len		10	24										armo	ring	amul	circ									0	0
of the Leech	#% Life stolen per hit	100	1	1	4		3				1	27	lifesteal		4	5										weap							orb					0	0
of the Locust	#% Life stolen per hit	100	1	1	14	19	13				1	27	lifesteal		6	7									cred	weap							orb					0	0
of the Locust	#% Life stolen per hit	100	1	1	20		13				1	27	lifesteal		6	7									cred	weap							orb					0	0
of the Lamprey	#% Life stolen per hit	100	1	1	39	54	37				1	27	lifesteal		8	9									cred	mele							orb					0	0
of the Lamprey	#% Life stolen per hit	100	1	1	55		37				1	27	lifesteal		8	9									cred	mele							orb					0	0
of the Leech	#% Life stolen per hit	100	1	1	10		9				1	27	lifesteal		3	4										ring	circ											0	0
of the Locust	#% Life stolen per hit	100	1	1	33		30				1	27	lifesteal		5	6										ring	circ											0	0
of the Lamprey	#% Life stolen per hit	100	1	1	54	76	55				1	27	lifesteal		7	8									cred	ring	circ											0	0
of the Lamprey	#% Life stolen per hit	100	1	1	77		55				1	27	lifesteal		7	8									cred	ring	circ											0	0
of the Leech	#% Life stolen per hit	100	1	1	24	33	22				1	27	lifesteal		3	3									cred	glov												0	0
of the Leech	#% Life stolen per hit	100	1	1	34		22				1	27	lifesteal		3	3									cred	glov												0	0
of the Leech	#% Life stolen per hit	100	1	1	17		17				1	27	lifesteal		2	3										amul												0	0
of the Locust	#% Life stolen per hit	100	1	1	40		38				1	27	lifesteal		4	5										amul												0	0
of the Lamprey	#% Life stolen per hit	100	1	1	59	84	62				1	27	lifesteal		6	6									cred	amul												0	0
of the Lamprey	#% Life stolen per hit	100	1	1	85		62				1	27	lifesteal		6	6									cred	amul												0	0
of the Bat	#% Mana stolen per hit	100	1	1	5		3				1	28	manasteal		4	5										weap							orb					0	0
of the Wraith	#% Mana stolen per hit	100	1	1	15	20	14				1	28	manasteal		6	7									cred	weap												0	0
of the Wraith	#% Mana stolen per hit	100	1	1	21		14				1	28	manasteal		6	7									cred	weap												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	39	55	41				1	28	manasteal		8	9									cred	mele												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	56		41				1	28	manasteal		8	9									cred	mele												0	0
of the Bat	#% Mana stolen per hit	100	1	1	11		9				1	28	manasteal		3	4										amul	circ											0	0
of the Wraith	#% Mana stolen per hit	100	1	1	41		34				1	28	manasteal		5	6										amul	circ											0	0
of the Vampire	#% Mana stolen per hit	100	1	1	55	77	56				1	28	manasteal		7	8									cred	amul	circ											0	0
of the Vampire	#% Mana stolen per hit	100	1	1	78		56				1	28	manasteal		7	8									cred	amul	circ											0	0
of the Bat	#% Mana stolen per hit	100	1	1	25	34	23				1	28	manasteal		3	3									cred	glov												0	0
of the Bat	#% Mana stolen per hit	100	1	1	35		23				1	28	manasteal		3	3									cred	glov												0	0
of the Bat	#% Mana stolen per hit	100	1	1	18		18				1	28	manasteal		2	3										ring												0	0
of the Wraith	#% Mana stolen per hit	100	1	1	41		39				1	28	manasteal		4	5										ring												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	60	85	63				1	28	manasteal		6	8									cred	ring												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	86		63				1	28	manasteal		6	8									cred	ring												0	0
of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	31		32				1	60	manasteal		3	5	lifesteal		5	7						ring	amul											0	0
of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	46		51				1	60	manasteal		6	7	lifesteal		8	9						ring	amul											0	0
of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	61	86	71				1	60	manasteal		8	9	lifesteal		10	12						ring	amul											0	0
of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	87		71				1	60	manasteal		8	9	lifesteal		10	12						ring	amul											0	0
of Health	Damage Reduced by #	100	1	1	5	20	4				1	1	red-dmg		1	1										tors	shld	ring	amul	circ								0	0
of Protection	Damage Reduced by #	100	1	1	13	40	11				1	1	red-dmg		2	2										ring	amul	circ										0	0
of Absorption	Damage Reduced by #	100	1	1	18	50	16				1	1	red-dmg		3	5										amul	circ	ring										0	0
of Life	Damage Reduced by #	100	1	1	25	34	22				1	1	red-dmg		6	10									dblu	amul	circ	ring										0	0
of Life	Damage Reduced by #	100	1	1	35		22				1	1	red-dmg		6	10									dblu	amul	circ	ring										0	0
of Life Everlasting	Damage Reduced by #	100	1	1	31	44	31				1	1	red-dmg		10	25										amul	circ											0	0
of Life Everlasting	Damage Reduced by #	100	1	1	45		31				1	1	red-dmg		10	25										amul	circ											0	0
of Protection	Damage Reduced by #	100	1	1	17	25	15				1	1	red-dmg		2	3										tors	shld	circ										0	0
of Absorption	Damage Reduced by #	100	1	1	22	55	20				1	1	red-dmg		4	5										tors	shld	circ										0	0
of Life	Damage Reduced by #	100	1	1	29		28				1	1	red-dmg		6	7										tors	shld	circ										0	0
of Anima	Damage Reduced by #	100	1	1	36	50	37				1	1	red-dmg		8	15										tors	shld	circ										0	0
of Anima	Damage Reduced by #	100	1	1	51		37				1	1	red-dmg		8	15										tors	shld	circ										0	0
of Warding	Magic Damage Reduced by #	100	1	1	5	25	4				1	2	red-mag		1	2										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	Magic Damage Reduced by #	100	1	1	13		10				1	2	red-mag		3	4										ring	amul	orb	circ									0	0
of Guarding	Magic Damage Reduced by #	100	1	1	18		16				1	2	red-mag		5	6										amul	orb	circ	ring									0	0
of Negation	Magic Damage Reduced by #	100	1	1	29	41	30				1	2	red-mag		7	8										amul	orb	circ	ring									0	0
of Negation	Magic Damage Reduced by #	100	1	1	42		30				1	2	red-mag		7	8										amul	orb	circ	ring									0	0
of the Sentinel	Magic Damage Reduced by #	100	1	1	17	40	15				1	2	red-mag		2	4										tors	shld	circ										0	0
of Guarding	Magic Damage Reduced by #	100	1	1	22		20				1	2	red-mag		5	8										tors	shld	circ										0	0
of Negation	Magic Damage Reduced by #	100	1	1	29		28				1	2	red-mag		9	15										tors	shld	circ										0	0
of Warding	Magic Resist +#%	100	1	1	18	37	16				1	2	res-mag		2	5										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	Magic Resist +#%	100	1	1	29	41	26				1	2	res-mag		6	9										ring	amul	orb	circ	tors	shld							0	0
of the Sentinel	Magic Resist +#%	100	1	1	42		26				1	2	res-mag		6	9										ring	amul	orb	circ	tors	shld							0	0
of Guarding	Magic Resist +#%	100	1	1	46	65	45				1	2	res-mag		10	13										amul	orb	circ	tors	shld								0	0
of Guarding	Magic Resist +#%	100	1	1	66		45				1	2	res-mag		10	13										amul	orb	circ	tors	shld								0	0
of Negation	Magic Resist +#%	100	1	1	59	83	61				1	2	res-mag		14	20										shld	orb	circ	tors									0	0
of Negation	Magic Resist +#%	100	1	1	84		61				1	2	res-mag		14	20										shld	orb	circ	tors									0	0
of Coolness	Fire Absorb #%	100	1	1	8	35	7				1	3	abs-fire		2	3										tors	shld	boot	circ									0	0
of Incombustibility	Fire Absorb #%	100	1	1	13	70	14				1	3	abs-fire		4	6										tors	shld	boot	circ									0	0
of Amianthus	Fire Absorb #%	100	1	1	25		25				1	3	abs-fire		7	9										tors	shld	boot	circ									0	0
of Fire Quenching	Fire Absorb #%	100	1	1	35		40				1	3	abs-fire		10	15										tors	shld	boot	circ									0	0
of Coolness	Fire Absorb #%	100	1	1	9		8				1	3	abs-fire		1	2										ring	amul	orb	circ									0	0
of Incombustibility	Fire Absorb #%	100	1	1	15		14				1	3	abs-fire		3	4										amul	orb	circ	ring									0	0
of Amianthus	Fire Absorb #%	100	1	1	23		21				1	3	abs-fire		5	6										amul	orb	circ	ring									0	0
of Fire Quenching	Fire Absorb #%	100	1	1	32		32				1	3	abs-fire		8	10										amul	orb	circ	ring									0	0
of Faith	Fire Absorb #%	100	1	1	16		14				1	3	abs-fire		2	3										jewl												0	0
of Faith	Fire Absorb #%	100	1	1	39		43				1	3	abs-fire		4	7										jewl												0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	23		25				1	3	abs-fire%		3	7										weap	amul	ring	shld									0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	46		46				1	3	abs-fire%		8	15										weap	amul	ring	shld									0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	61	86	68				1	3	abs-fire%		16	25										weap	amul	ring	shld									0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	87		68				1	3	abs-fire%		16	25										weap	amul	ring	shld									0	0
of Resistance	Lightning Absorb #%	100	1	1	8	35	7				1	3	abs-ltng		2	3										tors	shld	boot	circ									0	0
of Insulation	Lightning Absorb #%	100	1	1	13	70	12				1	3	abs-ltng		4	6										tors	shld	boot	circ									0	0
of Grounding	Lightning Absorb #%	100	1	1	25		25				1	3	abs-ltng		7	9										tors	shld	boot	circ									0	0
of the Dynamo	Lightning Absorb #%	100	1	1	35		40				1	3	abs-ltng		10	15										tors	shld	boot	circ									0	0
of Resistance	Lightning Absorb #%	100	1	1	9		8				1	3	abs-ltng		1	2										ring	amul	orb	circ									0	0
of Insulation	Lightning Absorb #%	100	1	1	15		14				1	3	abs-ltng		3	4										amul	orb	circ	ring									0	0
of Grounding	Lightning Absorb #%	100	1	1	23		21				1	3	abs-ltng		5	6										amul	orb	circ	ring									0	0
of the Dynamo	Lightning Absorb #%	100	1	1	32		32				1	3	abs-ltng		8	10										amul	orb	circ	ring									0	0
of Stoicism	Lightning Absorb #%	100	1	1	15		14				1	3	abs-ltng		2	3										jewl												0	0
